Expand,Discipline ,MUA/P ID ,Service Area Name ,Designation Type ,Primary State Name ,County ,Index of Medical Underservice Score ,Status ,Rural Status ,Designation Date ,Update Date 
,Primary Care,00001,Autauga County,Medically Underserved Area,Alabama,"Autauga County, AL",52.9,Designated,Non-Rural,01/01/1994,01/01/1994
,Primary Care,00002,Baldwin County,Medically Underserved Area,Alabama,"Baldwin County, AL",58.4,Designated,Partially Rural,01/01/1994,01/01/1994
,Primary Care,00004,Bibb County,Medically Underserved Area,Alabama,"Bibb County, AL",47.7,Designated,Non-Rural,11/01/1978,11/01/1978
,Primary Care,00005,Blounty County,Medically Underserved Area,Alabama,"Blount County, AL",56.1,Designated,Partially Rural,11/01/1978,11/01/1978
,Primary Care,00006,Bullock County,Medically Underserved Area,Alabama,"Bullock County, AL",61.7,Designated,Rural,11/01/1978,10/22/2012
,Primary Care,00008,Calhoun County,Medically Underserved Area,Alabama,"Calhoun County, AL",61.9,Designated,Non-Rural,11/01/1978,11/01/1978
,Primary Care,00010,Cherokee County,Medically Underserved Area,Alabama,"Cherokee County, AL",56.1,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00012,Choctaw County,Medically Underserved Area,Alabama,"Choctaw County, AL",58.2,Designated,Rural,11/01/1978,10/30/2013
,Primary Care,00014,Clay County,Medically Underserved Area,Alabama,"Clay County, AL",60.4,Designated,Rural,11/01/1978,11/14/2007
,Primary Care,00015,Cleburne County,Medically Underserved Area,Alabama,"Cleburne County, AL",61.1,Designated,Rural,11/01/1978,11/12/2013
,Primary Care,00016,Coffee County,Medically Underserved Area,Alabama,"Coffee County, AL",60.9,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00017,Colbert County,Medically Underserved Area,Alabama,"Colbert County, AL",57.0,Designated,Non-Rural,11/01/1978,11/01/1978
,Primary Care,00018,Conecuh County,Medically Underserved Area,Alabama,"Conecuh County, AL",51.2,Designated,Rural,11/01/1978,01/03/2013
,Primary Care,00019,Coosa County,Medically Underserved Area,Alabama,"Coosa County, AL",52.3,Designated,Rural,11/01/1978,01/03/2013
,Primary Care,00020,Covington County,Medically Underserved Area,Alabama,"Covington County, AL",54.8,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00021,Crenshaw County,Medically Underserved Area,Alabama,"Crenshaw County, AL",58.7,Designated,Rural,11/01/1978,01/03/2013
,Primary Care,00022,Cullman County,Medically Underserved Area,Alabama,"Cullman County, AL",51.7,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00023,Dale County,Medically Underserved Area,Alabama,"Dale County, AL",61.2,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00025,Dekalb County,Medically Underserved Area,Alabama,"DeKalb County, AL",50.8,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00026,Elmore County,Medically Underserved Area,Alabama,"Elmore County, AL",48.1,Designated,Partially Rural,11/01/1978,11/01/1978
,Primary Care,00027,Escambia County,Medically Underserved Area,Alabama,"Escambia County, AL",53.5,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00059,Etowah Service Area,Medically Underserved Area,Alabama,"Etowah County, AL",53.2,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00060,Etowah Service Area,Medically Underserved Area,Alabama,"Etowah County, AL",58.7,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00061,Etowah Service Area,Medically Underserved Area,Alabama,"Etowah County, AL",55.8,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00062,Etowah Service Area,Medically Underserved Area,Alabama,"Etowah County, AL",59.1,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00063,Etowah Service Area,Medically Underserved Area,Alabama,"Etowah County, AL",53.1,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00064,Etowah Service Area,Medically Underserved Area,Alabama,"Etowah County, AL",54.6,Designated,Rural,05/09/1994,05/09/1994
,Primary Care,00065,Etowah Service Area,Medically Underserved Area,Alabama,"Etowah County, AL",51.0,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,07616,Fayette/Lamar Counties,Medically Underserved Area,Alabama,"Fayette County, AL | Lamar County, AL",58.2,Designated,Rural,10/17/2007,11/06/2013
,Primary Care,00042,Florence Service Area,Medically Underserved Area,Alabama,"Marion County, AL",50.7,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00029,Franklin County,Medically Underserved Area,Alabama,"Franklin County, AL",59.1,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00031,Greene County,Medically Underserved Area,Alabama,"Greene County, AL",56.8,Designated,Non-Rural,11/01/1978,11/06/2013
,Primary Care,00032,Hale County,Medically Underserved Area,Alabama,"Hale County, AL",55.1,Designated,Non-Rural,11/01/1978,11/06/2013
,Primary Care,00033,Henry County,Medically Underserved Area,Alabama,"Henry County, AL",60.6,Designated,Partially Rural,11/01/1978,01/15/2013
,Primary Care,00034,Houston County,Medically Underserved Area,Alabama,"Houston County, AL",57.6,Designated,Non-Rural,11/01/1978,11/01/1978
