,County,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate†deaths per 100,000(95% Confidence Interval)",CI*Rank&fork;(95% Confidence Interval),Average Annual Count,Recent Trend,Recent 5-Year Trend‡ in Death Rates(95% Confidence Interval),State,Cancer,Race/Ethnicity,Sex,Age,Borough Or Census Area,Parish
0,Alabama,***,"212.1 (209.6, 214.7)",,5695,falling,"-2.2 (-2.5, -1.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
1,United States,***,"181.4 (181.1, 181.7)",,314987,falling,"-2.3 (-2.6, -2.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
2,Wilcox County,***,"296.3 (235.0, 369.2)","1 (1, 55)",18,stable,"-0.3 (-1.5, 0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
3,Macon County,***,"290.7 (245.1, 343.0)","2 (1, 33)",32,falling,"-1.0 (-1.7, -0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
4,Lowndes County,***,"283.8 (224.3, 355.1)","3 (1, 60)",17,stable,"-0.7 (-1.7, 0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
5,Walker County,***,"281.1 (257.5, 306.5)","4 (1, 18)",111,falling,"-0.8 (-1.3, -0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
6,Dallas County,***,"271.3 (240.1, 305.6)","5 (1, 31)",60,falling,"-1.5 (-2.0, -0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
7,Escambia County,***,"265.3 (235.1, 298.4)","6 (1, 36)",59,falling,"-1.3 (-2.1, -0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
8,Chambers County,***,"262.9 (230.6, 298.6)","7 (1, 42)",52,falling,"-1.0 (-1.6, -0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
9,Sumter County,***,"259.1 (203.6, 325.6)","8 (1, 65)",16,stable,"-0.9 (-2.0, 0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
10,Perry County,***,"254.8 (194.2, 329.1)","9 (1, 66)",13,stable,"-0.3 (-1.4, 0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
11,Bullock County,***,"252.4 (193.3, 323.7)","10 (1, 67)",13,stable,"-0.9 (-2.0, 0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
12,Russell County,***,"251.4 (224.1, 281.1)","11 (2, 44)",68,falling,"-1.4 (-1.8, -0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
13,Pike County,***,"247.4 (213.1, 285.9)","12 (1, 56)",39,falling,"-1.7 (-2.5, -0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
14,Jackson County,***,"245.1 (220.9, 271.3)","13 (3, 48)",82,falling,"-1.0 (-1.6, -0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
15,Lamar County,***,"239.2 (195.5, 290.6)","14 (1, 65)",22,falling,"-1.7 (-2.7, -0.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
16,Bibb County,***,"239.0 (201.1, 282.0)","15 (1, 64)",30,falling,"-0.9 (-1.6, -0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
17,Barbour County,***,"238.3 (204.1, 276.8)","16 (2, 62)",37,falling,"-1.6 (-2.4, -0.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
18,Lawrence County,***,"236.8 (207.2, 269.7)","17 (3, 59)",50,stable,"-0.8 (-1.7, 0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
19,Tallapoosa County,***,"236.0 (210.0, 264.5)","18 (4, 57)",65,falling,"-0.9 (-1.6, -0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
