County,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000"
Lowndes County  6,47,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,730.1 
Chambers County  6,129,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,607.4 
Elmore County  6,256,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,591.1 
Sumter County  6,41,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,590.8 
Crenshaw County  6,51,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,582.9 
Macon County  6,68,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,581.0 
Autauga County  6,170,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,575.8 
Walker County  6,235,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,575.8 
Lamar County  6,55,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,573.2 
Wilcox County  6,38,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,567.9 
Perry County  6,30,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,567.9 
Bibb County  6,74,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,552.5 
Clarke County  6,85,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,551.8 
Morgan County  6,382,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,550.6 
Pike County  6,87,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,547.7 
Dallas County  6,127,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,547.6 
Choctaw County  6,51,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,544.3 
Calhoun County  6,358,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,542.5 
Tallapoosa County  6,155,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,541.1 
Henry County  6,65,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,539.3 
Lawrence County  6,113,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,538.6 
Bullock County  6,32,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,532.6 
Marengo County  6,65,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,530.7 
Montgomery County  6,593,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,528.6 
Jefferson County  6,1815,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,527.5 
Talladega County  6,254,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,527.2 
St. Clair County  6,268,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,526.6 
Geneva County  6,93,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,524.1 
Etowah County  6,326,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,523.3 
Limestone County  6,273,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,522.7 
Escambia County  6,119,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,521.5 
Clay County  6,47,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,520.8 
Houston County  6,313,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,518.5 
Tuscaloosa County  6,493,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,516.3 
Winston County  6,84,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,510.8 
Barbour County  6,84,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,510.1 
Colbert County  6,177,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,508.7 
Dale County  6,144,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,507.4 
Marshall County  6,276,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,507.2 
Marion County  6,106,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,507.1 
Cleburne County  6,50,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,506.5 
Baldwin County  6,704,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,506.3 
Mobile County  6,1136,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,504.3 
Fayette County  6,55,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,503.7 
Covington County  6,122,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,501.0 
Jackson County  6,171,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,500.6 
Greene County  6,27,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,493.1 
Franklin County  6,86,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,490.0 
Blount County  6,172,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,483.7 
Washington County  6,52,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,481.5 
Russell County  6,138,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,481.0 
Shelby County  6,535,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,480.7 
Pickens County  6,61,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,479.8 
Butler County  6,58,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,475.7 
Conecuh County  6,42,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,474.1 
Cullman County  6,238,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,474.0 
Monroe County  6,64,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,470.9 
Madison County  6,902,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,469.8 
Coffee County  6,138,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,469.7 
Lauderdale County  6,268,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,469.1 
Randolph County  6,70,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,467.1 
Chilton County  6,118,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,466.8 
Hale County  6,44,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,454.8 
Lee County  6,304,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,453.8 
Cherokee County  6,84,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,425.2 
DeKalb County  6,176,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,419.8 
Coosa County  6,32,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,389.8 
Lowndes County  6,35,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,504.8 
Pickens County  6,68,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,504.8 
Crenshaw County  6,48,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,497.5 
Bullock County  6,29,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,475.1 
Walker County  6,212,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,469.2 
Greene County  6,29,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,463.6 
Clay County  6,43,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,458.3 
Lamar County  6,46,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,445.4 
Tallapoosa County  6,128,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,440.0 
Lawrence County  6,100,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,439.8 
Elmore County  6,219,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,439.7 
St. Clair County  6,243,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,438.2 
Chambers County  6,107,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,437.8 
Madison County  6,952,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,433.1 
Conecuh County  6,39,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,431.8 
Autauga County  6,145,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,430.3 
Morgan County  6,334,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,426.4 
Dallas County  6,117,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,426.3 
Etowah County  6,307,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,426.0 
Dale County  6,133,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,425.2 
Marion County  6,94,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,424.6 
Calhoun County  6,329,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,423.9 
Covington County  6,118,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,423.4 
Jackson County  6,154,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,421.1 
Macon County  6,56,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,419.6 
Limestone County  6,233,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,415.3 
Baldwin County  6,610,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,415.2 
Wilcox County  6,31,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,412.1 
Marshall County  6,249,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,410.7 
Clarke County  6,72,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,408.1 
Geneva County  6,78,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,403.2 
Talladega County  6,217,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,402.8 
Cullman County  6,221,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,402.5 
Bibb County  6,55,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,402.1 
Jefferson County  6,1705,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,398.5 
Butler County  6,57,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,398.3 
Sumter County  6,34,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,398.1 
