,County,Average Annual Count,Recent Trend,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000",CI*Rank,Recent 5-Year Trend in Death Rates
2,Marengo County,4,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,38.8 ,1 ,*
3,Jackson County,9,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,30.2 ,2 ,0.3 
4,Randolph County,3,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,27.6 ,3 ,-0.7 
5,Dallas County,5,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,26.0 ,4 ,-0.1 
6,Tallapoosa County,6,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,25.7 ,5 ,0.2 
7,Bibb County,4,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,25.7 ,6 ,-2.3 
8,Franklin County,5,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,25.6 ,7 ,-1.2 
9,Pike County,4,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,24.9 ,8 ,*
10,Chambers County,5,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,23.1 ,9 ,-1.1 
11,Walker County,9,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,22.4 ,10 ,-1.2 
12,Covington County,5,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,22.3 ,11 ,-0.2 
13,Cherokee County,3,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,21.9 ,12 ,*
14,Colbert County,7,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,21.5 ,13 ,-1.0 
15,Lawrence County,4,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.6 ,14 ,-0.6 
16,Cullman County,10,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.4 ,15 ,-1.1 
17,Marshall County,12,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.4 ,16 ,-1.4 
18,Mobile County,49,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.4 ,17 ,-1.7 
19,Elmore County,11,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.3 ,18 ,-2.5 
20,Houston County,13,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.1 ,19 ,-0.9 
21,Morgan County,14,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,19.7 ,20 ,-0.7 
22,Etowah County,13,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,19.7 ,21 ,-1.2 
23,Marion County,3,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,19.5 ,22 ,*
24,Montgomery County,26,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.8 ,23 ,-1.6 
25,Calhoun County,13,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.8 ,24 ,-1.0 
26,Talladega County,9,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.8 ,25 ,-1.4 
27,St. Clair County,11,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.7 ,26 ,-1.9 
28,Chilton County,5,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.6 ,27 ,*
29,Autauga County,7,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.4 ,28 ,-2.0 
30,Escambia County,4,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.3 ,29 ,-0.4 
31,Russell County,6,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.6 ,30 ,-1.9 
