,County,Average Annual Count,Recent Trend,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000",CI*Rank,Recent 5-Year Trend in Death Rates
2,Walker County,181,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,213.2 ,1 ,-0.3 
3,Crenshaw County,32,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,211.2 ,2 ,0.0 
4,Russell County,78,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,201.7 ,3 ,-0.6 
5,Escambia County,71,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,199.5 ,4 ,-0.5 
6,Jackson County,139,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,199.4 ,5 ,-0.5 
7,Chambers County,63,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,198.6 ,6 ,-0.5 
8,Macon County,10,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,198.1 ,7 ,-0.4 
9,Dallas County,41,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,197.9 ,8 ,-0.3 
10,Lawrence County,74,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,194.0 ,9 ,-0.5 
11,Barbour County,40,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,189.7 ,10 ,-0.8 
12,Marengo County,28,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,189.2 ,11 ,-0.8 
13,Geneva County,67,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,188.3 ,12 ,-0.4 
14,Henry County,38,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,187.8 ,13 ,-0.3 
15,Fayette County,40,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,186.9 ,14 ,-0.3 
16,Talladega County,148,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,186.1 ,15 ,-0.6 
17,Bibb County,42,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,184.9 ,16 ,-0.8 
18,Lamar County,36,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,184.6 ,17 ,-0.5 
19,Clay County,33,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,184.3 ,18 ,-0.5 
20,Blount County,139,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,182.7 ,19 ,-0.9 
21,Etowah County,226,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,182.2 ,20 ,-0.6 
22,Marion County,81,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,182.0 ,21 ,-0.4 
23,Covington County,93,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,181.7 ,22 ,-0.5 
24,Calhoun County,224,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,181.4 ,23 ,-1.1 
25,Colbert County,121,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,181.1 ,24 ,-0.7 
26,St. Clair County,180,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,179.9 ,25 ,-1.2 
27,Conecuh County,22,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,178.2 ,26 ,-1.5 
28,Lowndes County,9,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,177.1 ,27 ,-0.2 
29,Franklin County,65,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,176.2 ,28 ,-0.9 
30,Pike County,43,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,175.8 ,29 ,-0.9 
31,Mobile County,592,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,173.7 ,30 ,-1.4 
32,Perry County,9,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,172.9 ,31 ,-0.8 
33,Tallapoosa County,82,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,172.7 ,32 ,-0.4 
34,Randolph County,48,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,172.6 ,33 ,-0.4 
35,Cullman County,187,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,171.7 ,34 ,-0.7 
36,Marshall County,202,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,171.4 ,35 ,-0.8 
37,Dale County,89,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,171.2 ,36 ,-0.9 
38,Chilton County,86,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,171.0 ,37 ,-0.8 
39,Morgan County,236,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,170.1 ,38 ,-0.4 
