,County,Average Annual Count,Recent Trend,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000",CI*Rank,Recent 5-Year Trend in Incidence Rates
2,Lowndes County  6,47,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,730.1 ,1 ,1.9 
3,Chambers County  6,129,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,607.4 ,2 ,0.0 
4,Elmore County  6,256,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,591.1 ,3 ,0.3 
5,Sumter County  6,41,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,590.8 ,4 ,-0.8 
6,Crenshaw County  6,51,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,582.9 ,5 ,1.5 
7,Macon County  6,68,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,581.0 ,6 ,1.0 
8,Autauga County  6,170,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,575.8 ,7 ,0.2 
9,Walker County  6,235,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,575.8 ,8 ,-0.3 
10,Lamar County  6,55,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,573.2 ,9 ,0.4 
11,Wilcox County  6,38,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,567.9 ,10 ,-0.5 
12,Perry County  6,30,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,567.9 ,11 ,0.4 
13,Bibb County  6,74,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,552.5 ,12 ,-0.2 
14,Clarke County  6,85,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,551.8 ,13 ,-0.6 
15,Morgan County  6,382,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,550.6 ,14 ,-1.1 
16,Pike County  6,87,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,547.7 ,15 ,0.2 
17,Dallas County  6,127,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,547.6 ,16 ,0.0 
18,Choctaw County  6,51,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,544.3 ,17 ,-2.1 
19,Calhoun County  6,358,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,542.5 ,18 ,-0.5 
20,Tallapoosa County  6,155,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,541.1 ,19 ,0.0 
21,Henry County  6,65,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,539.3 ,20 ,-1.7 
22,Lawrence County  6,113,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,538.6 ,21 ,-0.9 
