,County,Average Annual Count,Recent Trend,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000",CI*Rank,Recent 5-Year Trend in Death Rates
2,Wilcox County,18,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,296.3 ,1 ,-0.3 
3,Macon County,32,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,290.7 ,2 ,-1.0 
4,Lowndes County,17,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,283.8 ,3 ,-0.7 
5,Walker County,111,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,281.1 ,4 ,-0.8 
6,Dallas County,60,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,271.3 ,5 ,-1.5 
7,Escambia County,59,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,265.3 ,6 ,-1.3 
8,Chambers County,52,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,262.9 ,7 ,-1.0 
9,Sumter County,16,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,259.1 ,8 ,-0.9 
10,Perry County,13,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,254.8 ,9 ,-0.3 
11,Bullock County,13,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,252.4 ,10 ,-0.9 
12,Russell County,68,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,251.4 ,11 ,-1.4 
13,Pike County,39,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,247.4 ,12 ,-1.7 
14,Jackson County,82,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,245.1 ,13 ,-1.0 
15,Lamar County,22,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,239.2 ,14 ,-1.7 
16,Bibb County,30,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,239.0 ,15 ,-0.9 
17,Barbour County,37,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,238.3 ,16 ,-1.6 
18,Lawrence County,50,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,236.8 ,17 ,-0.8 
19,Tallapoosa County,65,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,236.0 ,18 ,-0.9 
20,Covington County,58,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,235.0 ,19 ,-1.1 
21,Talladega County,112,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,234.6 ,20 ,-1.1 
22,Crenshaw County,21,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,233.9 ,21 ,-0.9 
23,Henry County,27,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,233.4 ,22 ,-1.3 
24,Clay County,21,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,232.9 ,23 ,-0.9 
25,Washington County,25,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,232.1 ,24 ,-0.9 
26,Etowah County,143,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,230.3 ,25 ,-1.0 
27,Marengo County,27,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,229.6 ,26 ,-1.2 
