average_annual_count,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,abbrv,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,38.8 ,"Marengo County, AL",54.0,19766,19525,19396,19056,18863,AL,35389,34794,37469,37733,38838
48,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,606.5 ,"Marengo County, AL",54.0,19766,19525,19396,19056,18863,AL,35389,34794,37469,37733,38838
18,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,84.7 ,"Marengo County, AL",54.0,19766,19525,19396,19056,18863,AL,35389,34794,37469,37733,38838
35,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,963.0 ,"Marengo County, AL",54.0,19766,19525,19396,19056,18863,AL,35389,34794,37469,37733,38838
9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,30.2 ,"Jackson County, AL",53.0,52195,51988,51828,51621,51626,AL,40201,41407,42658,41929,44322
134,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,626.1 ,"Jackson County, AL",53.0,52195,51988,51828,51621,51626,AL,40201,41407,42658,41929,44322
48,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,80.3 ,"Jackson County, AL",53.0,52195,51988,51828,51621,51626,AL,40201,41407,42658,41929,44322
96,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,986.9 ,"Jackson County, AL",53.0,52195,51988,51828,51621,51626,AL,40201,41407,42658,41929,44322
3,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,27.6 ,"Randolph County, AL",61.0,22594,22504,22687,22727,22722,AL,37333,40283,41112,40546,42922
53,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,542.7 ,"Randolph County, AL",61.0,22594,22504,22687,22727,22722,AL,37333,40283,41112,40546,42922
18,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,69.2 ,"Randolph County, AL",61.0,22594,22504,22687,22727,22722,AL,37333,40283,41112,40546,42922
39,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,866.6 ,"Randolph County, AL",61.0,22594,22504,22687,22727,22722,AL,37333,40283,41112,40546,42922
5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,26.0 ,"Dallas County, AL",50.0,40936,40080,39238,38294,37196,AL,29682,30488,31329,34035,34034
96,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,645.7 ,"Dallas County, AL",50.0,40936,40080,39238,38294,37196,AL,29682,30488,31329,34035,34034
35,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,79.0 ,"Dallas County, AL",50.0,40936,40080,39238,38294,37196,AL,29682,30488,31329,34035,34034
67,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,014.6 ","Dallas County, AL",50.0,40936,40080,39238,38294,37196,AL,29682,30488,31329,34035,34034
6,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,25.7 ,"Tallapoosa County, AL",53.0,40605,40586,40613,40535,40367,AL,39051,40169,44469,42205,47100
107,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,605.9 ,"Tallapoosa County, AL",53.0,40605,40586,40613,40535,40367,AL,39051,40169,44469,42205,47100
34,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,70.1 ,"Tallapoosa County, AL",53.0,40605,40586,40613,40535,40367,AL,39051,40169,44469,42205,47100
79,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,987.7 ,"Tallapoosa County, AL",53.0,40605,40586,40613,40535,40367,AL,39051,40169,44469,42205,47100
4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,25.7 ,"Bibb County, AL",47.0,22566,22586,22550,22367,22394,AL,40767,43079,45795,46064,47918
47,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,595.2 ,"Bibb County, AL",47.0,22566,22586,22550,22367,22394,AL,40767,43079,45795,46064,47918
16,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,68.4 ,"Bibb County, AL",47.0,22566,22586,22550,22367,22394,AL,40767,43079,45795,46064,47918
34,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,975.3 ,"Bibb County, AL",47.0,22566,22586,22550,22367,22394,AL,40767,43079,45795,46064,47918
5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,25.6 ,"Franklin County, AL",59.0,31515,31611,31542,31298,31362,AL,38535,37049,41025,39388,44874
63,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,561.7 ,"Franklin County, AL",59.0,31515,31611,31542,31298,31362,AL,38535,37049,41025,39388,44874
20,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,62.3 ,"Franklin County, AL",59.0,31515,31611,31542,31298,31362,AL,38535,37049,41025,39388,44874
47,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,944.1 ,"Franklin County, AL",59.0,31515,31611,31542,31298,31362,AL,38535,37049,41025,39388,44874
4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,24.9 ,"Pike County, AL",60.0,33496,33464,33349,33242,33114,AL,34442,35172,40680,37259,41271
63,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,604.7 ,"Pike County, AL",60.0,33496,33464,33349,33242,33114,AL,34442,35172,40680,37259,41271
24,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,81.8 ,"Pike County, AL",60.0,33496,33464,33349,33242,33114,AL,34442,35172,40680,37259,41271
43,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,899.4 ,"Pike County, AL",60.0,33496,33464,33349,33242,33114,AL,34442,35172,40680,37259,41271
5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,23.1 ,"Chambers County, AL",59.5,33996,33745,33707,33600,33254,AL,35560,39530,36883,39917,42015
85,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,620.1 ,"Chambers County, AL",59.5,33996,33745,33707,33600,33254,AL,35560,39530,36883,39917,42015
26,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,66.0 ,"Chambers County, AL",59.5,33996,33745,33707,33600,33254,AL,35560,39530,36883,39917,42015
64,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,031.8 ","Chambers County, AL",59.5,33996,33745,33707,33600,33254,AL,35560,39530,36883,39917,42015
9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,22.4 ,"Walker County, AL",61.0,64931,64533,63895,63669,63521,AL,37305,39511,41925,45434,45991
183,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,719.4 ,"Walker County, AL",61.0,64931,64533,63895,63669,63521,AL,37305,39511,41925,45434,45991
59,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,78.5 ,"Walker County, AL",61.0,64931,64533,63895,63669,63521,AL,37305,39511,41925,45434,45991
133,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,159.0 ","Walker County, AL",61.0,64931,64533,63895,63669,63521,AL,37305,39511,41925,45434,45991
5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,22.3 ,"Covington County, AL",54.0,37556,37382,37062,36953,37049,AL,36355,35010,39093,40203,44836
103,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,628.2 ,"Covington County, AL",54.0,37556,37382,37062,36953,37049,AL,36355,35010,39093,40203,44836
33,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,76.0 ,"Covington County, AL",54.0,37556,37382,37062,36953,37049,AL,36355,35010,39093,40203,44836
74,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,976.3 ,"Covington County, AL",54.0,37556,37382,37062,36953,37049,AL,36355,35010,39093,40203,44836
3,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,21.9 ,"Cherokee County, AL",56.0,25732,25768,25805,26014,26196,AL,39144,41456,44842,42132,45982
66,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,549.4 ,"Cherokee County, AL",56.0,25732,25768,25805,26014,26196,AL,39144,41456,44842,42132,45982
20,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,64.2 ,"Cherokee County, AL",56.0,25732,25768,25805,26014,26196,AL,39144,41456,44842,42132,45982
49,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,883.1 ,"Cherokee County, AL",56.0,25732,25768,25805,26014,26196,AL,39144,41456,44842,42132,45982
7,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,21.5 ,"Colbert County, AL",57.0,54417,54497,54695,55004,55241,AL,41171,46572,46100,49055,46683
134,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,589.2 ,"Colbert County, AL",57.0,54417,54497,54695,55004,55241,AL,41171,46572,46100,49055,46683
45,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,69.9 ,"Colbert County, AL",57.0,54417,54497,54695,55004,55241,AL,41171,46572,46100,49055,46683
96,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,928.7 ,"Colbert County, AL",57.0,54417,54497,54695,55004,55241,AL,41171,46572,46100,49055,46683
4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.6 ,"Lawrence County, AL",44.0,33135,33227,33063,32941,32924,AL,41771,43107,42912,43909,47797
80,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,612.5 ,"Lawrence County, AL",44.0,33135,33227,33063,32941,32924,AL,41771,43107,42912,43909,47797
29,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,73.1 ,"Lawrence County, AL",44.0,33135,33227,33063,32941,32924,AL,41771,43107,42912,43909,47797
55,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,951.6 ,"Lawrence County, AL",44.0,33135,33227,33063,32941,32924,AL,41771,43107,42912,43909,47797
10,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.4 ,"Cullman County, AL",51.0,81761,82450,82867,83418,83768,AL,39290,41543,45925,45796,50897
178,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,560.8 ,"Cullman County, AL",51.0,81761,82450,82867,83418,83768,AL,39290,41543,45925,45796,50897
58,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,62.5 ,"Cullman County, AL",51.0,81761,82450,82867,83418,83768,AL,39290,41543,45925,45796,50897
131,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,910.9 ,"Cullman County, AL",51.0,81761,82450,82867,83418,83768,AL,39290,41543,45925,45796,50897
12,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.4 ,"Marshall County, AL",58.0,94585,95113,95572,96170,96774,AL,40599,42117,42751,46233,48913
195,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,561.3 ,"Marshall County, AL",58.0,94585,95113,95572,96170,96774,AL,40599,42117,42751,46233,48913
63,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,61.5 ,"Marshall County, AL",58.0,94585,95113,95572,96170,96774,AL,40599,42117,42751,46233,48913
143,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,919.1 ,"Marshall County, AL",58.0,94585,95113,95572,96170,96774,AL,40599,42117,42751,46233,48913
49,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.4 ,"Mobile County, AL",57.0,414462,414945,414045,413908,413210,AL,42530,45233,45615,43598,49492
842,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,589.5 ,"Mobile County, AL",57.0,414462,414945,414045,413908,413210,AL,42530,45233,45615,43598,49492
313,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,69.1 ,"Mobile County, AL",57.0,414462,414945,414045,413908,413210,AL,42530,45233,45615,43598,49492
578,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,928.3 ,"Mobile County, AL",57.0,414462,414945,414045,413908,413210,AL,42530,45233,45615,43598,49492
11,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.3 ,"Elmore County, AL",48.0,80872,81204,81422,81011,81209,AL,53548,54553,59652,60367,62310
150,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,577.5 ,"Elmore County, AL",48.0,80872,81204,81422,81011,81209,AL,53548,54553,59652,60367,62310
49,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,54.7 ,"Elmore County, AL",48.0,80872,81204,81422,81011,81209,AL,53548,54553,59652,60367,62310
112,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,001.0 ","Elmore County, AL",48.0,80872,81204,81422,81011,81209,AL,53548,54553,59652,60367,62310
13,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.1 ,"Houston County, AL",57.0,104260,104218,104378,104770,105882,AL,43568,42910,44753,47993,50138
208,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,533.1 ,"Houston County, AL",57.0,104260,104218,104378,104770,105882,AL,43568,42910,44753,47993,50138
67,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,58.5 ,"Houston County, AL",57.0,104260,104218,104378,104770,105882,AL,43568,42910,44753,47993,50138
153,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,876.1 ,"Houston County, AL",57.0,104260,104218,104378,104770,105882,AL,43568,42910,44753,47993,50138
14,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,19.7 ,"Morgan County, AL",59.0,119257,119006,118918,119203,119679,AL,47234,46843,49274,52797,54355
249,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,567.1 ,"Morgan County, AL",59.0,119257,119006,118918,119203,119679,AL,47234,46843,49274,52797,54355
79,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,58.6 ,"Morgan County, AL",59.0,119257,119006,118918,119203,119679,AL,47234,46843,49274,52797,54355
184,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,948.0 ,"Morgan County, AL",59.0,119257,119006,118918,119203,119679,AL,47234,46843,49274,52797,54355
13,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,19.7 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268,AL,42145,40972,41791,44903,43047
245,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,604.0 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268,AL,42145,40972,41791,44903,43047
77,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,65.5 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268,AL,42145,40972,41791,44903,43047
180,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,980.3 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268,AL,42145,40972,41791,44903,43047
3,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,19.5 ,"Marion County, AL",50.0,30119,29960,29792,29750,29709,AL,34977,36386,38049,37887,44675
80,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,605.8 ,"Marion County, AL",50.0,30119,29960,29792,29750,29709,AL,34977,36386,38049,37887,44675
22,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,64.4 ,"Marion County, AL",50.0,30119,29960,29792,29750,29709,AL,34977,36386,38049,37887,44675
62,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,991.3 ,"Marion County, AL",50.0,30119,29960,29792,29750,29709,AL,34977,36386,38049,37887,44675
