average_annual_count,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,abbrv,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
30,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,681.2 ,"Lowndes County, AL",54.0,10350,10248,10097,9974,9726,AL,31117,32011,33130,33973,33930
30,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,694.0 ,"Lowndes County, AL",54.0,10350,10248,10097,9974,9726,AL,31117,32011,33130,33973,33930
51,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,570.1 ,"Lowndes County, AL",54.0,10350,10248,10097,9974,9726,AL,31117,32011,33130,33973,33930
80,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,558.3 ,"Crenshaw County, AL",58.0,13850,13916,13858,13825,13772,AL,36759,37374,38419,39057,43309
80,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,565.3 ,"Crenshaw County, AL",58.0,13850,13916,13858,13825,13772,AL,36759,37374,38419,39057,43309
18,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,442.0 ,"Crenshaw County, AL",58.0,13850,13916,13858,13825,13772,AL,36759,37374,38419,39057,43309
15,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,542.5 ,"Greene County, AL",56.0,8508,8482,8310,8209,8111,AL,25398,26559,28108,28524,28699
15,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,553.2 ,"Greene County, AL",56.0,8508,8482,8310,8209,8111,AL,25398,26559,28108,28524,28699
41,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,452.5 ,"Greene County, AL",56.0,8508,8482,8310,8209,8111,AL,25398,26559,28108,28524,28699
158,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,519.5 ,"Chambers County, AL",59.5,33996,33745,33707,33600,33254,AL,35560,39530,36883,39917,42015
157,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,523.6 ,"Chambers County, AL",59.5,33996,33745,33707,33600,33254,AL,35560,39530,36883,39917,42015
76,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,479.2 ,"Chambers County, AL",59.5,33996,33745,33707,33600,33254,AL,35560,39530,36883,39917,42015
418,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,509.3 ,"Walker County, AL",61.0,64931,64533,63895,63669,63521,AL,37305,39511,41925,45434,45991
416,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,511.1 ,"Walker County, AL",61.0,64931,64533,63895,63669,63521,AL,37305,39511,41925,45434,45991
