,STNAME,CTYNAME,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
0,Alabama,Alabama,4852347,4863525,4874486,4887681,4903185
1,Alabama,Autauga County,54864,55243,55390,55533,55869
2,Alabama,Baldwin County,202939,207601,212521,217855,223234
3,Alabama,Barbour County,26283,25806,25157,24872,24686
4,Alabama,Bibb County,22566,22586,22550,22367,22394
5,Alabama,Blount County,57526,57494,57787,57771,57826
6,Alabama,Bullock County,10400,10389,10176,10174,10101
7,Alabama,Butler County,20162,20012,19888,19631,19448
8,Alabama,Calhoun County,115469,114973,114710,114331,113605
9,Alabama,Chambers County,33996,33745,33707,33600,33254
10,Alabama,Cherokee County,25732,25768,25805,26014,26196
11,Alabama,Chilton County,43700,43866,44120,44163,44428
12,Alabama,Choctaw County,13231,13045,12925,12833,12589
13,Alabama,Clarke County,24698,24340,24063,23918,23622
14,Alabama,Clay County,13415,13393,13350,13294,13235
15,Alabama,Cleburne County,14914,14848,14899,15010,14910
16,Alabama,Coffee County,50963,51202,51853,51950,52342
17,Alabama,Colbert County,54417,54497,54695,55004,55241
18,Alabama,Conecuh County,12678,12500,12431,12292,12067
19,Alabama,Coosa County,10934,10819,10724,10643,10663
20,Alabama,Covington County,37556,37382,37062,36953,37049
21,Alabama,Crenshaw County,13850,13916,13858,13825,13772
22,Alabama,Cullman County,81761,82450,82867,83418,83768
23,Alabama,Dale County,49365,49362,49342,49143,49172
24,Alabama,Dallas County,40936,40080,39238,38294,37196
25,Alabama,DeKalb County,71087,71104,71437,71407,71513
26,Alabama,Elmore County,80872,81204,81422,81011,81209
27,Alabama,Escambia County,37661,37475,36993,36524,36633
28,Alabama,Etowah County,102998,102855,103007,102611,102268
29,Alabama,Fayette County,16696,16563,16466,16445,16302
30,Alabama,Franklin County,31515,31611,31542,31298,31362
31,Alabama,Geneva County,26631,26494,26385,26306,26271
32,Alabama,Greene County,8508,8482,8310,8209,8111
33,Alabama,Hale County,15015,14828,14801,14749,14651
34,Alabama,Henry County,17101,17072,17115,17173,17205
35,Alabama,Houston County,104260,104218,104378,104770,105882
36,Alabama,Jackson County,52195,51988,51828,51621,51626
37,Alabama,Jefferson County,660455,660343,659599,659429,658573
38,Alabama,Lamar County,13927,13928,13882,13882,13805
39,Alabama,Lauderdale County,92459,92425,92564,92604,92729
40,Alabama,Lawrence County,33135,33227,33063,32941,32924
41,Alabama,Lee County,156954,159168,161440,163656,164542
42,Alabama,Limestone County,91565,92847,94130,96177,98915
43,Alabama,Lowndes County,10350,10248,10097,9974,9726
44,Alabama,Macon County,19296,19060,18793,18321,18068
45,Alabama,Madison County,352977,356729,361762,367004,372909
46,Alabama,Marengo County,19766,19525,19396,19056,18863
47,Alabama,Marion County,30119,29960,29792,29750,29709
48,Alabama,Marshall County,94585,95113,95572,96170,96774
