County_State,Abbrv,Median Household Income 2015,Median Household Income 2016,Median Household Income 2017,Median Household Income 2018,Median Household Income 2019
"Autauga County, AL",AL,56580,54487,58343,59338,58233
"Baldwin County, AL",AL,52387,56460,56607,57588,59871
"Barbour County, AL",AL,31433,32884,32490,34382,35972
"Bibb County, AL",AL,40767,43079,45795,46064,47918
"Blount County, AL",AL,50487,47213,48253,50412,52902
"Bullock County, AL",AL,28251,34278,29113,29267,31906
"Butler County, AL",AL,33868,35409,36842,37365,39944
"Calhoun County, AL",AL,42091,41778,45937,45400,47747
"Chambers County, AL",AL,35560,39530,36883,39917,42015
"Cherokee County, AL",AL,39144,41456,44842,42132,45982
"Chilton County, AL",AL,42767,44188,46405,47547,49692
"Choctaw County, AL",AL,35089,32691,36711,39907,39808
"Clarke County, AL",AL,37317,34061,36719,40741,43822
"Clay County, AL",AL,38908,38512,39642,39201,40562
"Cleburne County, AL",AL,42136,43483,45480,46495,51276
"Coffee County, AL",AL,46858,48632,51998,55122,57299
"Colbert County, AL",AL,41171,46572,46100,49055,46683
"Conecuh County, AL",AL,29981,29758,30796,32613,41539
"Coosa County, AL",AL,36078,36441,42442,42423,42024
"Covington County, AL",AL,36355,35010,39093,40203,44836
"Crenshaw County, AL",AL,36759,37374,38419,39057,43309
"Cullman County, AL",AL,39290,41543,45925,45796,50897
"Dale County, AL",AL,45294,40523,42572,45309,45120
"Dallas County, AL",AL,29682,30488,31329,34035,34034
"DeKalb County, AL",AL,37305,37128,39906,39491,44277
"Elmore County, AL",AL,53548,54553,59652,60367,62310
"Escambia County, AL",AL,36840,35096,37870,38418,42712
"Etowah County, AL",AL,42145,40972,41791,44903,43047
"Fayette County, AL",AL,37085,38403,39394,39254,44212
"Franklin County, AL",AL,38535,37049,41025,39388,44874
"Geneva County, AL",AL,36289,36976,38561,37823,43089
"Greene County, AL",AL,25398,26559,28108,28524,28699
"Hale County, AL",AL,35470,35381,34905,34724,40745
"Henry County, AL",AL,42501,41426,48094,46027,48597
"Houston County, AL",AL,43568,42910,44753,47993,50138
"Jackson County, AL",AL,40201,41407,42658,41929,44322
