Age-Adjusted Death Rate,Age-Adjusted Incidence Rate,County,Primary_State_Name
441.1,1136.4,Union County, Florida
315.8,* ,Kingman County, Kansas
283,499.9,Buffalo County, South Dakota
281.8,558.8,Hanson County, South Dakota
273.3,596.3,Perry County, Kentucky
272.5,518.5,Wolfe County, Kentucky
271.3,572,East Carroll Parish, Louisiana
267.5,458.3,Camas County, Idaho
267.3,409.9,Loup County, Nebraska
264.2,555.6,Clay County, Kentucky
262.6,514.7,Pulaski County, Illinois
262,518.9,Sunflower County, Mississippi
261,545.4,Whitley County, Kentucky
261,* ,Lane County, Kansas
251,531.9,Greensville County, Virginia
249.5,564.9,Monroe County, Arkansas
245.5,457.6,Okfuskee County, Oklahoma
244.7,598.5,Prairie County, Montana
243.8,601,Polk County, Texas
243.6,519,Leslie County, Kentucky
243.3,568.4,Logan County, West Virginia
243.1,552.4,Harlan County, Kentucky
243.1,559.5,Owsley County, Kentucky
241.7,512.5,Overton County, Tennessee
241.3,568.1,Hart County, Kentucky
240.7,483.2,Madison County, Mississippi
240.1,565.1,Johnson County, Kentucky
239.9,586.9,Nicholas County, Kentucky
239.4,534.7,Carroll County, Kentucky
239.3,603.7,Lawrence County, Kentucky
238.3,578.5,Breathitt County, Kentucky
238.3,631.5,Powell County, Kentucky
237.8,457.7,Todd County, South Dakota
237.3,516.6,Perry County, Tennessee
237.2,442.7,Anderson County, Texas
235.9,531.3,Adams County, Ohio
235.7,471.2,Quitman County, Georgia
235.6,496.9,Scott County, Tennessee
235.5,592.7,Monroe County, Kentucky
235.1,555.1,Delta County, Texas
234.9,622.7,Floyd County, Kentucky
234.7,440.9,Baylor County, Texas
234.3,572.9,Knox County, Kentucky
234,538.4,Bolivar County, Mississippi
233,550.9,Holmes County, Mississippi
232.8,452,Sharkey County, Mississippi
232.7,572.4,Lewis County, Kentucky
232.1,532.6,Martin County, Kentucky
232.1,454.9,Mellette County, South Dakota
231.6,412.5,Pemiscot County, Missouri
231.5,475.9,McDowell County, West Virginia
230.6,536.6,Kiowa County, Oklahoma
230.3,474,Bell County, Kentucky
230.2,475.8,Grundy County, Tennessee
229.8,526.1,Warren County, Georgia
229.5,535.3,Clay County, Arkansas
229.1,531.8,Benton County, Tennessee
228.5,498.1,Yazoo County, Mississippi
228.5,500.4,Calhoun County, Arkansas
228.1,525.4,Carroll County, Tennessee
227.4,527.4,Miner County, South Dakota
227.4,565.2,Turner County, Georgia
227.1,491.7,Claiborne County, Mississippi
226.6,554.3,Letcher County, Kentucky
226.5,508.9,Tunica County, Mississippi
226,540.9,Meigs County, Tennessee
226,450.7,Hardin County, Illinois
225.9,509.9,McCreary County, Kentucky
225.2,551.8,Sussex County, Virginia
225.2,483.5,Scott County, Indiana
225.1,386.4,Alpine County, California
224.8,519.8,Cross County, Arkansas
224.1,570.4,Fleming County, Kentucky
224,549.6,Lewis County, West Virginia
223.8,561,Estill County, Kentucky
222.8,496.9,Morgan County, Kentucky
222.8,520.9,Houston County, Tennessee
222.7,400.8,Florence County, Wisconsin
222,547.5,Poinsett County, Arkansas
222,434.2,Taliaferro County, Georgia
221.8,468.2,Thurston County, Nebraska
221.8,421,Hamilton County, Texas
221.7,561.9,Lee County, Kentucky
221.3,454.2,Madison Parish, Louisiana
221.1,471.9,Dunklin County, Missouri
220.9,529.3,Ouachita County, Arkansas
220.8,549,Scott County, Illinois
220.6,477.2,Stonewall County, Texas
220.4,430.2,Johnson County, Tennessee
220.3,475.6,Lauderdale County, Tennessee
220,547.4,Lawrence County, Ohio
220,503.6,Cumberland County, Kentucky
219.7,508,Alexander County, Illinois
219.4,567.5,Russell County, Kentucky
218.9,475.2,Vermillion County, Indiana
218.6,479,Ottawa County, Oklahoma
218.6,471.4,Nowata County, Oklahoma
218.3,466.7,Garvin County, Oklahoma
218.2,504.1,Leflore County, Mississippi
218.1,546.4,McCook County, South Dakota
218.1,452.6,Crittenden County, Arkansas
218,486.8,Menifee County, Kentucky
217.6,526.6,Madison County, Missouri
217.3,568.7,Bath County, Kentucky
217.3,456.8,Hughes County, Oklahoma
217.2,509.6,Fountain County, Indiana
217.2,428.6,Shannon County, South Dakota
217.2,516.7,Yalobusha County, Mississippi
217.1,492.8,Jefferson County, Georgia
216.9,448.7,Randolph County, Missouri
216.9,521.2,St. Francois County, Missouri
216.7,558,Pike County, Kentucky
216.6,484.1,Union County, Kentucky
216.3,470.3,Emanuel County, Georgia
216,457.3,Gallatin County, Illinois
215.5,520.6,Van Buren County, Iowa
215.4,543.5,Montgomery County, Kentucky
