average_annual_count,recent_trend,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,five_year_trend_rates,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,abbrv,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
9,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,167.8 ,2.3 ,"Lowndes County, AL",54.0,10350,10248,10097,9974,9726,AL,31117,32011,33130,33973,33930
72,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,738.4 ",2.0 ,"Lowndes County, AL",54.0,10350,10248,10097,9974,9726,AL,31117,32011,33130,33973,33930
37,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,339.4 ,2.4 ,"Lowndes County, AL",54.0,10350,10248,10097,9974,9726,AL,31117,32011,33130,33973,33930
44,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,416.0 ",1.8 ,"Lowndes County, AL",54.0,10350,10248,10097,9974,9726,AL,31117,32011,33130,33973,33930
9,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,145.2 ,2.0 ,"Conecuh County, AL",51.0,12678,12500,12431,12292,12067,AL,29981,29758,30796,32613,41539
72,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,261.5 ",-0.5 ,"Conecuh County, AL",51.0,12678,12500,12431,12292,12067,AL,29981,29758,30796,32613,41539
37,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,276.9 ,0.6 ,"Conecuh County, AL",51.0,12678,12500,12431,12292,12067,AL,29981,29758,30796,32613,41539
44,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,659.8 ",-0.7 ,"Conecuh County, AL",51.0,12678,12500,12431,12292,12067,AL,29981,29758,30796,32613,41539
6,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,144.7 ,2.9 ,"Greene County, AL",56.0,8508,8482,8310,8209,8111,AL,25398,26559,28108,28524,28699
51,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,348.8 ",0.1 ,"Greene County, AL",56.0,8508,8482,8310,8209,8111,AL,25398,26559,28108,28524,28699
