average_annual_count,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019
4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,38.8 ,"Marengo County, AL",54.0,19766,19525,19396,19056,18863
48,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,606.5 ,"Marengo County, AL",54.0,19766,19525,19396,19056,18863
18,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,84.7 ,"Marengo County, AL",54.0,19766,19525,19396,19056,18863
35,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,963.0 ,"Marengo County, AL",54.0,19766,19525,19396,19056,18863
9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,30.2 ,"Jackson County, AL",53.0,52195,51988,51828,51621,51626
134,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,626.1 ,"Jackson County, AL",53.0,52195,51988,51828,51621,51626
48,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,80.3 ,"Jackson County, AL",53.0,52195,51988,51828,51621,51626
96,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,986.9 ,"Jackson County, AL",53.0,52195,51988,51828,51621,51626
3,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,27.6 ,"Randolph County, AL",61.0,22594,22504,22687,22727,22722
53,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,542.7 ,"Randolph County, AL",61.0,22594,22504,22687,22727,22722
18,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,69.2 ,"Randolph County, AL",61.0,22594,22504,22687,22727,22722
39,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,866.6 ,"Randolph County, AL",61.0,22594,22504,22687,22727,22722
5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,26.0 ,"Dallas County, AL",50.0,40936,40080,39238,38294,37196
96,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,645.7 ,"Dallas County, AL",50.0,40936,40080,39238,38294,37196
35,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,79.0 ,"Dallas County, AL",50.0,40936,40080,39238,38294,37196
67,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,014.6 ","Dallas County, AL",50.0,40936,40080,39238,38294,37196
6,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,25.7 ,"Tallapoosa County, AL",53.0,40605,40586,40613,40535,40367
107,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,605.9 ,"Tallapoosa County, AL",53.0,40605,40586,40613,40535,40367
34,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,70.1 ,"Tallapoosa County, AL",53.0,40605,40586,40613,40535,40367
79,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,987.7 ,"Tallapoosa County, AL",53.0,40605,40586,40613,40535,40367
4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,25.7 ,"Bibb County, AL",47.0,22566,22586,22550,22367,22394
