Primary_State_Name,County_State,Index_of_Medical_Underservice_Score
Alabama,"Autauga County, AL",52.0
Alabama,"Bibb County, AL",47.0
Alabama,"Blount County, AL",56.0
Alabama,"Bullock County, AL",61.0
Alabama,"Calhoun County, AL",61.0
Alabama,"Cherokee County, AL",56.0
Alabama,"Choctaw County, AL",58.0
Alabama,"Clay County, AL",60.0
Alabama,"Cleburne County, AL",61.0
Alabama,"Coffee County, AL",60.0
Alabama,"Colbert County, AL",57.0
Alabama,"Conecuh County, AL",51.0
Alabama,"Coosa County, AL",52.0
Alabama,"Covington County, AL",54.0
Alabama,"Crenshaw County, AL",58.0
Alabama,"Cullman County, AL",51.0
Alabama,"Dale County, AL",61.0
Alabama,"DeKalb County, AL",50.0
Alabama,"Elmore County, AL",48.0
Alabama,"Escambia County, AL",53.0
Alabama,"Etowah County, AL",54.71428571
Alabama,"Fayette County, AL",58.0
Alabama,"Lamar County, AL",58.0
Alabama,"Marion County, AL",50.0
Alabama,"Franklin County, AL",59.0
Alabama,"Greene County, AL",56.0
Alabama,"Hale County, AL",55.0
Alabama,"Henry County, AL",60.0
Alabama,"Houston County, AL",57.0
Alabama,"Jackson County, AL",53.0
Alabama,"Jefferson County, AL",55.42857143
Alabama,"Chambers County, AL",59.5
Alabama,"Lauderdale County, AL",58.0
Alabama,"Lawrence County, AL",44.0
Alabama,"Lee County, AL",55.0
Alabama,"Limestone County, AL",49.75
Alabama,"Lowndes County, AL",54.0
Alabama,"Macon County, AL",28.0
Alabama,"Madison County, AL",56.0
Alabama,"Marengo County, AL",54.0
Alabama,"Marshall County, AL",58.0
Alabama,"Mobile County, AL",57.0
Alabama,"Montgomery County, AL",48.4
Alabama,"Morgan County, AL",59.0
Alabama,"Perry County, AL",58.0
Alabama,"Pickens County, AL",58.0
Alabama,"Randolph County, AL",61.0
Alabama,"Russell County, AL",46.0
Georgia,"Russell County, GA",46.0
Alabama,"Shelby County, AL",49.0
Georgia,"Muscogee County, GA",50.33333333
Alabama,"St. Clair County, AL",42.0
Alabama,"Sumter County, AL",40.0
Alabama,"Talladega County, AL",45.0
Alabama,"Tallapoosa County, AL",53.0
Alabama,"Tuscaloosa County, AL",49.75
Alabama,"Washington County, AL",32.0
Alabama,"Winston County, AL",58.0
Alabama,"Barbour County, AL",61.0
Alabama,"Butler County, AL",60.0
Alabama,"Chilton County, AL",57.0
Alabama,"Clarke County, AL",57.0
Alabama,"Dallas County, AL",50.0
Alabama,"Geneva County, AL",57.0
Alabama,"Monroe County, AL",61.0
Alabama,"Pike County, AL",60.0
Alabama,"Walker County, AL",61.0
Alabama,"Wilcox County, AL",51.0
Alaska,"Aleutians East Borough, AK",61.0
Alaska,"Aleutians West Census Area, AK",61.0
Alaska,"Anchorage Borough, AK",61.0
Alaska,"Bethel Census Area, AK",47.0
Alaska,"Bristol Bay Borough, AK",60.0
Alaska,"Valdez-Cordova Census Area, AK",16.66666667
Alaska,"Yukon-Koyukuk Census Area, AK",54.33333333
Alaska,"Lake and Peninsula Borough, AK",58.0
Alaska,"Nome Census Area, AK",37.0
Alaska,"Northwest Arctic Borough, AK",37.0
Alaska,"Ketchikan Gateway Borough, AK",60.0
Alaska,"Prince of Wales-Hyder Census Area, AK",60.0
Alaska,"North Slope Borough, AK",57.0
Alaska,"Hoonah-Angoon Census Area, AK",59.0
Alaska,"Skagway Municipality, AK",59.0
Alaska,"Kusilvak Census Area, AK",32.0
Alaska,"Yakutat Borough, AK",60.0
Alaska,"Kenai Peninsula Borough, AK",0.0
Alaska,"Fairbanks North Star Borough, AK",0.0
Alaska,"Haines Borough, AK",0.0
Alaska,"Denali Borough, AK",0.0
Alaska,"Dillingham Census Area, AK",0.0
Alaska,"Kodiak Island Borough, AK",0.0
Alaska,"Southeast Fairbanks Census Area, AK",0.0
Alaska,"Matanuska-Susitna Borough, AK",0.0
Alaska,"Juneau Borough, AK",63.0
Alaska,"Wrangell City and Borough, AK",0.0
Arizona,"Pima County, AZ",56.5
Arizona,"Apache County, AZ",35.0
Arizona,"Pinal County, AZ",53.25
