average_annual_count,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019
30,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,681.2 ,"Lowndes County, AL",54.0,10350,10248,10097,9974,9726
30,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,694.0 ,"Lowndes County, AL",54.0,10350,10248,10097,9974,9726
51,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,570.1 ,"Lowndes County, AL",54.0,10350,10248,10097,9974,9726
80,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,558.3 ,"Crenshaw County, AL",58.0,13850,13916,13858,13825,13772
80,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,565.3 ,"Crenshaw County, AL",58.0,13850,13916,13858,13825,13772
18,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,442.0 ,"Crenshaw County, AL",58.0,13850,13916,13858,13825,13772
15,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,542.5 ,"Greene County, AL",56.0,8508,8482,8310,8209,8111
15,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,553.2 ,"Greene County, AL",56.0,8508,8482,8310,8209,8111
41,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,452.5 ,"Greene County, AL",56.0,8508,8482,8310,8209,8111
158,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,519.5 ,"Chambers County, AL",59.5,33996,33745,33707,33600,33254
157,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,523.6 ,"Chambers County, AL",59.5,33996,33745,33707,33600,33254
76,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,479.2 ,"Chambers County, AL",59.5,33996,33745,33707,33600,33254
418,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,509.3 ,"Walker County, AL",61.0,64931,64533,63895,63669,63521
416,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,511.1 ,"Walker County, AL",61.0,64931,64533,63895,63669,63521
25,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,608.2 ,"Walker County, AL",61.0,64931,64533,63895,63669,63521
186,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,506.0 ,"Lawrence County, AL",44.0,33135,33227,33063,32941,32924
185,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,508.3 ,"Lawrence County, AL",44.0,33135,33227,33063,32941,32924
26,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,484.2 ,"Lawrence County, AL",44.0,33135,33227,33063,32941,32924
95,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,505.4 ,"Dallas County, AL",50.0,40936,40080,39238,38294,37196
95,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,505.1 ,"Dallas County, AL",50.0,40936,40080,39238,38294,37196
145,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,467.6 ,"Dallas County, AL",50.0,40936,40080,39238,38294,37196
91,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,502.8 ,"Lamar County, AL",58.0,13927,13928,13882,13882,13805
91,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,505.6 ,"Lamar County, AL",58.0,13927,13928,13882,13882,13805
10,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,504.6 ,"Lamar County, AL",58.0,13927,13928,13882,13882,13805
392,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,499.3 ,"Elmore County, AL",48.0,80872,81204,81422,81011,81209
390,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,503.0 ,"Elmore County, AL",48.0,80872,81204,81422,81011,81209
74,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,525.2 ,"Elmore County, AL",48.0,80872,81204,81422,81011,81209
4,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,285.9 ,"Elmore County, AL",48.0,80872,81204,81422,81011,81209
26,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,494.0 ,"Macon County, AL",28.0,19296,19060,18793,18321,18068
26,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,507.5 ,"Macon County, AL",28.0,19296,19060,18793,18321,18068
95,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,476.7 ,"Macon County, AL",28.0,19296,19060,18793,18321,18068
23,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,489.0 ,"Sumter County, AL",40.0,13206,12967,12749,12634,12427
23,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,494.4 ,"Sumter County, AL",40.0,13206,12967,12749,12634,12427
50,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,461.6 ,"Sumter County, AL",40.0,13206,12967,12749,12634,12427
255,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,485.3 ,"Autauga County, AL",52.0,54864,55243,55390,55533,55869
252,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,488.0 ,"Autauga County, AL",52.0,54864,55243,55390,55533,55869
54,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,515.5 ,"Autauga County, AL",52.0,54864,55243,55390,55533,55869
566,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,475.6 ,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605
4,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,153.1 ,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605
563,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,480.9 ,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605
108,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,446.1 ,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605
3,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,231.3 ,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605
5,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,198.2 ,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605
