average_annual_count,recent_trend,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,five_year_trend_rates,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
181,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,213.2 ,213.2 ,"Walker County, AL",61.0,64931,64533,63895,63669,63521,37305,39511,41925,45434,45991
180,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,213.9 ,213.9 ,"Walker County, AL",61.0,64931,64533,63895,63669,63521,37305,39511,41925,45434,45991
10,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,281.1 ,281.1 ,"Walker County, AL",61.0,64931,64533,63895,63669,63521,37305,39511,41925,45434,45991
32,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,211.2 ,211.2 ,"Crenshaw County, AL",58.0,13850,13916,13858,13825,13772,36759,37374,38419,39057,43309
32,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,214.0 ,214.0 ,"Crenshaw County, AL",58.0,13850,13916,13858,13825,13772,36759,37374,38419,39057,43309
7,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,175.2 ,175.2 ,"Crenshaw County, AL",58.0,13850,13916,13858,13825,13772,36759,37374,38419,39057,43309
78,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,201.7 ,201.7 ,"Russell County, AL",46.0,58844,58185,56985,57784,57961,36124,38617,36186,39104,43670
77,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,203.6 ,203.6 ,"Russell County, AL",46.0,58844,58185,56985,57784,57961,36124,38617,36186,39104,43670
50,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,204.2 ,204.2 ,"Russell County, AL",46.0,58844,58185,56985,57784,57961,36124,38617,36186,39104,43670
71,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,199.5 ,199.5 ,"Escambia County, AL",53.0,37661,37475,36993,36524,36633,36840,35096,37870,38418,42712
70,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,201.0 ,201.0 ,"Escambia County, AL",53.0,37661,37475,36993,36524,36633,36840,35096,37870,38418,42712
22,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,177.3 ,177.3 ,"Escambia County, AL",53.0,37661,37475,36993,36524,36633,36840,35096,37870,38418,42712
139,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,199.4 ,199.4 ,"Jackson County, AL",53.0,52195,51988,51828,51621,51626,40201,41407,42658,41929,44322
138,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,200.7 ,200.7 ,"Jackson County, AL",53.0,52195,51988,51828,51621,51626,40201,41407,42658,41929,44322
4,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,177.8 ,177.8 ,"Jackson County, AL",53.0,52195,51988,51828,51621,51626,40201,41407,42658,41929,44322
63,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,198.6 ,198.6 ,"Chambers County, AL",59.5,33996,33745,33707,33600,33254,35560,39530,36883,39917,42015
62,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,199.4 ,199.4 ,"Chambers County, AL",59.5,33996,33745,33707,33600,33254,35560,39530,36883,39917,42015
27,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,169.7 ,169.7 ,"Chambers County, AL",59.5,33996,33745,33707,33600,33254,35560,39530,36883,39917,42015
10,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,198.1 ,198.1 ,"Macon County, AL",28.0,19296,19060,18793,18321,18068,29522,30681,30849,32495,34281
10,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,204.9 ,204.9 ,"Macon County, AL",28.0,19296,19060,18793,18321,18068,29522,30681,30849,32495,34281
43,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,210.2 ,210.2 ,"Macon County, AL",28.0,19296,19060,18793,18321,18068,29522,30681,30849,32495,34281
41,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,197.9 ,197.9 ,"Dallas County, AL",50.0,40936,40080,39238,38294,37196,29682,30488,31329,34035,34034
41,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,198.8 ,198.8 ,"Dallas County, AL",50.0,40936,40080,39238,38294,37196,29682,30488,31329,34035,34034
60,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,201.4 ,201.4 ,"Dallas County, AL",50.0,40936,40080,39238,38294,37196,29682,30488,31329,34035,34034
74,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,194.0 ,194.0 ,"Lawrence County, AL",44.0,33135,33227,33063,32941,32924,41771,43107,42912,43909,47797
73,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,194.3 ,194.3 ,"Lawrence County, AL",44.0,33135,33227,33063,32941,32924,41771,43107,42912,43909,47797
10,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,181.1 ,181.1 ,"Lawrence County, AL",44.0,33135,33227,33063,32941,32924,41771,43107,42912,43909,47797
40,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,189.7 ,189.7 ,"Barbour County, AL",61.0,26283,25806,25157,24872,24686,31433,32884,32490,34382,35972
40,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,192.6 ,192.6 ,"Barbour County, AL",61.0,26283,25806,25157,24872,24686,31433,32884,32490,34382,35972
23,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,176.1 ,176.1 ,"Barbour County, AL",61.0,26283,25806,25157,24872,24686,31433,32884,32490,34382,35972
28,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,189.2 ,189.2 ,"Marengo County, AL",54.0,19766,19525,19396,19056,18863,35389,34794,37469,37733,38838
27,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,183.0 ,183.0 ,"Marengo County, AL",54.0,19766,19525,19396,19056,18863,35389,34794,37469,37733,38838
