average_annual_count,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,abbrv,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
47,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,730.1 ,"Lowndes County, AL",54.0,10350,10248,10097,9974,9726,AL,31117,32011,33130,33973,33930
35,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,504.8 ,"Lowndes County, AL",54.0,10350,10248,10097,9974,9726,AL,31117,32011,33130,33973,33930
129,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,607.4 ,"Chambers County, AL",59.5,33996,33745,33707,33600,33254,AL,35560,39530,36883,39917,42015
107,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,437.8 ,"Chambers County, AL",59.5,33996,33745,33707,33600,33254,AL,35560,39530,36883,39917,42015
256,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,591.1 ,"Elmore County, AL",48.0,80872,81204,81422,81011,81209,AL,53548,54553,59652,60367,62310
219,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,439.7 ,"Elmore County, AL",48.0,80872,81204,81422,81011,81209,AL,53548,54553,59652,60367,62310
41,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,590.8 ,"Sumter County, AL",40.0,13206,12967,12749,12634,12427,AL,25931,26814,26495,27859,29209
34,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,398.1 ,"Sumter County, AL",40.0,13206,12967,12749,12634,12427,AL,25931,26814,26495,27859,29209
51,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,582.9 ,"Crenshaw County, AL",58.0,13850,13916,13858,13825,13772,AL,36759,37374,38419,39057,43309
48,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,497.5 ,"Crenshaw County, AL",58.0,13850,13916,13858,13825,13772,AL,36759,37374,38419,39057,43309
68,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,581.0 ,"Macon County, AL",28.0,19296,19060,18793,18321,18068,AL,29522,30681,30849,32495,34281
56,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,419.6 ,"Macon County, AL",28.0,19296,19060,18793,18321,18068,AL,29522,30681,30849,32495,34281
170,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,575.8 ,"Autauga County, AL",52.0,54864,55243,55390,55533,55869,AL,56580,54487,58343,59338,58233
145,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,430.3 ,"Autauga County, AL",52.0,54864,55243,55390,55533,55869,AL,56580,54487,58343,59338,58233
235,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,575.8 ,"Walker County, AL",61.0,64931,64533,63895,63669,63521,AL,37305,39511,41925,45434,45991
212,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,469.2 ,"Walker County, AL",61.0,64931,64533,63895,63669,63521,AL,37305,39511,41925,45434,45991
55,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,573.2 ,"Lamar County, AL",58.0,13927,13928,13882,13882,13805,AL,36520,38358,39796,40936,42686
46,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,445.4 ,"Lamar County, AL",58.0,13927,13928,13882,13882,13805,AL,36520,38358,39796,40936,42686
38,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,567.9 ,"Wilcox County, AL",51.0,10896,10844,10691,10599,10373,AL,23014,24216,25700,25385,30998
31,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,412.1 ,"Wilcox County, AL",51.0,10896,10844,10691,10599,10373,AL,23014,24216,25700,25385,30998
30,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,567.9 ,"Perry County, AL",58.0,9640,9532,9302,9070,8923,AL,26218,25221,26703,26814,29572
24,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,357.3 ,"Perry County, AL",58.0,9640,9532,9302,9070,8923,AL,26218,25221,26703,26814,29572
74,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,552.5 ,"Bibb County, AL",47.0,22566,22586,22550,22367,22394,AL,40767,43079,45795,46064,47918
55,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,402.1 ,"Bibb County, AL",47.0,22566,22586,22550,22367,22394,AL,40767,43079,45795,46064,47918
85,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,551.8 ,"Clarke County, AL",57.0,24698,24340,24063,23918,23622,AL,37317,34061,36719,40741,43822
72,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,408.1 ,"Clarke County, AL",57.0,24698,24340,24063,23918,23622,AL,37317,34061,36719,40741,43822
382,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,550.6 ,"Morgan County, AL",59.0,119257,119006,118918,119203,119679,AL,47234,46843,49274,52797,54355
334,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,426.4 ,"Morgan County, AL",59.0,119257,119006,118918,119203,119679,AL,47234,46843,49274,52797,54355
87,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,547.7 ,"Pike County, AL",60.0,33496,33464,33349,33242,33114,AL,34442,35172,40680,37259,41271
70,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,370.2 ,"Pike County, AL",60.0,33496,33464,33349,33242,33114,AL,34442,35172,40680,37259,41271
127,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,547.6 ,"Dallas County, AL",50.0,40936,40080,39238,38294,37196,AL,29682,30488,31329,34035,34034
117,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,426.3 ,"Dallas County, AL",50.0,40936,40080,39238,38294,37196,AL,29682,30488,31329,34035,34034
51,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,544.3 ,"Choctaw County, AL",58.0,13231,13045,12925,12833,12589,AL,35089,32691,36711,39907,39808
38,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,372.2 ,"Choctaw County, AL",58.0,13231,13045,12925,12833,12589,AL,35089,32691,36711,39907,39808
358,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,542.5 ,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605,AL,42091,41778,45937,45400,47747
329,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,423.9 ,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605,AL,42091,41778,45937,45400,47747
155,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,541.1 ,"Tallapoosa County, AL",53.0,40605,40586,40613,40535,40367,AL,39051,40169,44469,42205,47100
128,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,440.0 ,"Tallapoosa County, AL",53.0,40605,40586,40613,40535,40367,AL,39051,40169,44469,42205,47100
65,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,539.3 ,"Henry County, AL",60.0,17101,17072,17115,17173,17205,AL,42501,41426,48094,46027,48597
50,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,390.1 ,"Henry County, AL",60.0,17101,17072,17115,17173,17205,AL,42501,41426,48094,46027,48597
113,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,538.6 ,"Lawrence County, AL",44.0,33135,33227,33063,32941,32924,AL,41771,43107,42912,43909,47797
100,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,439.8 ,"Lawrence County, AL",44.0,33135,33227,33063,32941,32924,AL,41771,43107,42912,43909,47797
32,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,532.6 ,"Bullock County, AL",61.0,10400,10389,10176,10174,10101,AL,28251,34278,29113,29267,31906
29,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,475.1 ,"Bullock County, AL",61.0,10400,10389,10176,10174,10101,AL,28251,34278,29113,29267,31906
65,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,530.7 ,"Marengo County, AL",54.0,19766,19525,19396,19056,18863,AL,35389,34794,37469,37733,38838
54,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,392.1 ,"Marengo County, AL",54.0,19766,19525,19396,19056,18863,AL,35389,34794,37469,37733,38838
593,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,528.6 ,"Montgomery County, AL",48.4,227279,227170,227265,226504,226486,AL,42666,45111,45833,49640,52711
558,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,397.2 ,"Montgomery County, AL",48.4,227279,227170,227265,226504,226486,AL,42666,45111,45833,49640,52711
1815,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,527.5 ,"Jefferson County, AL",55.42857143,660455,660343,659599,659429,658573,AL,48415,50109,50731,55013,54127
1705,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,398.5 ,"Jefferson County, AL",55.42857143,660455,660343,659599,659429,658573,AL,48415,50109,50731,55013,54127
254,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,527.2 ,"Talladega County, AL",45.0,81128,80552,80142,80137,79978,AL,37911,40555,41733,41630,47719
217,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,402.8 ,"Talladega County, AL",45.0,81128,80552,80142,80137,79978,AL,37911,40555,41733,41630,47719
268,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,526.6 ,"St. Clair County, AL",42.0,86546,87306,87926,88654,89512,AL,53558,57856,52755,57284,65403
243,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,438.2 ,"St. Clair County, AL",42.0,86546,87306,87926,88654,89512,AL,53558,57856,52755,57284,65403
93,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,524.1 ,"Geneva County, AL",57.0,26631,26494,26385,26306,26271,AL,36289,36976,38561,37823,43089
78,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,403.2 ,"Geneva County, AL",57.0,26631,26494,26385,26306,26271,AL,36289,36976,38561,37823,43089
326,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,523.3 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268,AL,42145,40972,41791,44903,43047
307,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,426.0 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268,AL,42145,40972,41791,44903,43047
273,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,522.7 ,"Limestone County, AL",49.75,91565,92847,94130,96177,98915,AL,55060,52181,57342,64863,64729
233,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,415.3 ,"Limestone County, AL",49.75,91565,92847,94130,96177,98915,AL,55060,52181,57342,64863,64729
119,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,521.5 ,"Escambia County, AL",53.0,37661,37475,36993,36524,36633,AL,36840,35096,37870,38418,42712
96,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,385.7 ,"Escambia County, AL",53.0,37661,37475,36993,36524,36633,AL,36840,35096,37870,38418,42712
47,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,520.8 ,"Clay County, AL",60.0,13415,13393,13350,13294,13235,AL,38908,38512,39642,39201,40562
43,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,458.3 ,"Clay County, AL",60.0,13415,13393,13350,13294,13235,AL,38908,38512,39642,39201,40562
313,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,518.5 ,"Houston County, AL",57.0,104260,104218,104378,104770,105882,AL,43568,42910,44753,47993,50138
270,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,382.0 ,"Houston County, AL",57.0,104260,104218,104378,104770,105882,AL,43568,42910,44753,47993,50138
493,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,516.3 ,"Tuscaloosa County, AL",49.75,204767,206464,207618,208319,209355,AL,47868,47483,51644,52557,52307
433,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,385.4 ,"Tuscaloosa County, AL",49.75,204767,206464,207618,208319,209355,AL,47868,47483,51644,52557,52307
84,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,510.8 ,"Winston County, AL",58.0,23930,23907,23760,23693,23629,AL,36497,38644,38562,41156,40827
55,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,326.8 ,"Winston County, AL",58.0,23930,23907,23760,23693,23629,AL,36497,38644,38562,41156,40827
84,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,510.1 ,"Barbour County, AL",61.0,26283,25806,25157,24872,24686,AL,31433,32884,32490,34382,35972
68,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,398.0 ,"Barbour County, AL",61.0,26283,25806,25157,24872,24686,AL,31433,32884,32490,34382,35972
177,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,508.7 ,"Colbert County, AL",57.0,54417,54497,54695,55004,55241,AL,41171,46572,46100,49055,46683
156,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,394.3 ,"Colbert County, AL",57.0,54417,54497,54695,55004,55241,AL,41171,46572,46100,49055,46683
144,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,507.4 ,"Dale County, AL",61.0,49365,49362,49342,49143,49172,AL,45294,40523,42572,45309,45120
133,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,425.2 ,"Dale County, AL",61.0,49365,49362,49342,49143,49172,AL,45294,40523,42572,45309,45120
276,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,507.2 ,"Marshall County, AL",58.0,94585,95113,95572,96170,96774,AL,40599,42117,42751,46233,48913
249,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,410.7 ,"Marshall County, AL",58.0,94585,95113,95572,96170,96774,AL,40599,42117,42751,46233,48913
106,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,507.1 ,"Marion County, AL",50.0,30119,29960,29792,29750,29709,AL,34977,36386,38049,37887,44675
94,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,424.6 ,"Marion County, AL",50.0,30119,29960,29792,29750,29709,AL,34977,36386,38049,37887,44675
50,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,506.5 ,"Cleburne County, AL",61.0,14914,14848,14899,15010,14910,AL,42136,43483,45480,46495,51276
41,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,387.5 ,"Cleburne County, AL",61.0,14914,14848,14899,15010,14910,AL,42136,43483,45480,46495,51276
704,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,506.3 ,"Baldwin County, AL",,202939,207601,212521,217855,223234,AL,52387,56460,56607,57588,59871
610,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,415.2 ,"Baldwin County, AL",,202939,207601,212521,217855,223234,AL,52387,56460,56607,57588,59871
1136,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,504.3 ,"Mobile County, AL",57.0,414462,414945,414045,413908,413210,AL,42530,45233,45615,43598,49492
1042,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,394.0 ,"Mobile County, AL",57.0,414462,414945,414045,413908,413210,AL,42530,45233,45615,43598,49492
55,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,503.7 ,"Fayette County, AL",58.0,16696,16563,16466,16445,16302,AL,37085,38403,39394,39254,44212
49,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,391.5 ,"Fayette County, AL",58.0,16696,16563,16466,16445,16302,AL,37085,38403,39394,39254,44212
122,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,501.0 ,"Covington County, AL",54.0,37556,37382,37062,36953,37049,AL,36355,35010,39093,40203,44836
118,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,423.4 ,"Covington County, AL",54.0,37556,37382,37062,36953,37049,AL,36355,35010,39093,40203,44836
171,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,500.6 ,"Jackson County, AL",53.0,52195,51988,51828,51621,51626,AL,40201,41407,42658,41929,44322
154,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,421.1 ,"Jackson County, AL",53.0,52195,51988,51828,51621,51626,AL,40201,41407,42658,41929,44322
27,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,493.1 ,"Greene County, AL",56.0,8508,8482,8310,8209,8111,AL,25398,26559,28108,28524,28699
29,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,463.6 ,"Greene County, AL",56.0,8508,8482,8310,8209,8111,AL,25398,26559,28108,28524,28699
86,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,490.0 ,"Franklin County, AL",59.0,31515,31611,31542,31298,31362,AL,38535,37049,41025,39388,44874
75,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,377.3 ,"Franklin County, AL",59.0,31515,31611,31542,31298,31362,AL,38535,37049,41025,39388,44874
172,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,483.7 ,"Blount County, AL",56.0,57526,57494,57787,57771,57826,AL,50487,47213,48253,50412,52902
152,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,392.2 ,"Blount County, AL",56.0,57526,57494,57787,57771,57826,AL,50487,47213,48253,50412,52902
52,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,481.5 ,"Washington County, AL",32.0,16832,16621,16522,16402,16326,AL,42658,37575,44249,44424,48864
40,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,353.4 ,"Washington County, AL",32.0,16832,16621,16522,16402,16326,AL,42658,37575,44249,44424,48864
138,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,481.0 ,"Russell County, AL",46.0,58844,58185,56985,57784,57961,AL,36124,38617,36186,39104,43670
128,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,366.6 ,"Russell County, AL",46.0,58844,58185,56985,57784,57961,AL,36124,38617,36186,39104,43670
535,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,480.7 ,"Shelby County, AL",49.0,208959,211282,213633,215583,217702,AL,70879,74212,74098,75663,77801
465,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,367.3 ,"Shelby County, AL",49.0,208959,211282,213633,215583,217702,AL,70879,74212,74098,75663,77801
61,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,479.8 ,"Pickens County, AL",58.0,20776,20325,20204,19980,19930,AL,33160,35968,38379,37586,40249
68,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,504.8 ,"Pickens County, AL",58.0,20776,20325,20204,19980,19930,AL,33160,35968,38379,37586,40249
58,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,475.7 ,"Butler County, AL",60.0,20162,20012,19888,19631,19448,AL,33868,35409,36842,37365,39944
57,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,398.3 ,"Butler County, AL",60.0,20162,20012,19888,19631,19448,AL,33868,35409,36842,37365,39944
42,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,474.1 ,"Conecuh County, AL",51.0,12678,12500,12431,12292,12067,AL,29981,29758,30796,32613,41539
39,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,431.8 ,"Conecuh County, AL",51.0,12678,12500,12431,12292,12067,AL,29981,29758,30796,32613,41539
238,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,474.0 ,"Cullman County, AL",51.0,81761,82450,82867,83418,83768,AL,39290,41543,45925,45796,50897
221,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,402.5 ,"Cullman County, AL",51.0,81761,82450,82867,83418,83768,AL,39290,41543,45925,45796,50897
64,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,470.9 ,"Monroe County, AL",61.0,21717,21548,21290,21062,20733,AL,35163,36639,36432,39556,40005
58,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,379.9 ,"Monroe County, AL",61.0,21717,21548,21290,21062,20733,AL,35163,36639,36432,39556,40005
902,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,469.8 ,"Madison County, AL",56.0,352977,356729,361762,367004,372909,AL,59117,61193,62750,63755,68609
952,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,433.1 ,"Madison County, AL",56.0,352977,356729,361762,367004,372909,AL,59117,61193,62750,63755,68609
138,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,469.7 ,"Coffee County, AL",60.0,50963,51202,51853,51950,52342,AL,46858,48632,51998,55122,57299
127,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,380.7 ,"Coffee County, AL",60.0,50963,51202,51853,51950,52342,AL,46858,48632,51998,55122,57299
