average_annual_count,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
18,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,296.3,"Wilcox County, AL",51.0,10896,10844,10691,10599,10373,23014,24216,25700,25385,30998
13,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,153.2,"Wilcox County, AL",51.0,10896,10844,10691,10599,10373,23014,24216,25700,25385,30998
32,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,290.7,"Macon County, AL",28.0,19296,19060,18793,18321,18068,29522,30681,30849,32495,34281
22,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.1,"Macon County, AL",28.0,19296,19060,18793,18321,18068,29522,30681,30849,32495,34281
17,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,283.8,"Lowndes County, AL",54.0,10350,10248,10097,9974,9726,31117,32011,33130,33973,33930
11,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,145.1,"Lowndes County, AL",54.0,10350,10248,10097,9974,9726,31117,32011,33130,33973,33930
111,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,281.1,"Walker County, AL",61.0,64931,64533,63895,63669,63521,37305,39511,41925,45434,45991
81,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,163.1,"Walker County, AL",61.0,64931,64533,63895,63669,63521,37305,39511,41925,45434,45991
60,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,271.3,"Dallas County, AL",50.0,40936,40080,39238,38294,37196,29682,30488,31329,34035,34034
41,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.4,"Dallas County, AL",50.0,40936,40080,39238,38294,37196,29682,30488,31329,34035,34034
