Average Annual Count,Recent Trend,Primary_State_Name,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000",Recent 5-Year Trend in Incidence Rates,County_State
9,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,167.8 ,2.3 ,"Lowndes County, AL"
72,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,738.4 ",2.0 ,"Lowndes County, AL"
37,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,339.4 ,2.4 ,"Lowndes County, AL"
44,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,416.0 ",1.8 ,"Lowndes County, AL"
9,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,145.2 ,2.0 ,"Conecuh County, AL"
72,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,261.5 ",-0.5 ,"Conecuh County, AL"
37,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,276.9 ,0.6 ,"Conecuh County, AL"
44,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,659.8 ",-0.7 ,"Conecuh County, AL"
6,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,144.7 ,2.9 ,"Greene County, AL"
51,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,348.8 ",0.1 ,"Greene County, AL"
24,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,270.3 ,0.3 ,"Greene County, AL"
32,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,893.0 ",0.8 ,"Greene County, AL"
17,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,142.9 ,2.9 ,"Pickens County, AL"
112,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,379.0 ",0.1 ,"Pickens County, AL"
61,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,282.6 ,1.0 ,"Pickens County, AL"
69,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,874.7 ",0.1 ,"Pickens County, AL"
7,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,141.5 ,3.4 ,"Perry County, AL"
47,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,254.5 ",-0.1 ,"Perry County, AL"
24,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,267.4 ,1.8 ,"Perry County, AL"
30,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,689.7 ",-0.7 ,"Perry County, AL"
11,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,138.5 ,3.3 ,"Crenshaw County, AL"
