Average Annual Count,Primary_State_Name,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000",County_State
4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,38.8 ,"Marengo County, AL"
48,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,606.5 ,"Marengo County, AL"
18,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,84.7 ,"Marengo County, AL"
35,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,963.0 ,"Marengo County, AL"
9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,30.2 ,"Jackson County, AL"
134,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,626.1 ,"Jackson County, AL"
48,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,80.3 ,"Jackson County, AL"
96,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,986.9 ,"Jackson County, AL"
3,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,27.6 ,"Randolph County, AL"
53,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,542.7 ,"Randolph County, AL"
18,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,69.2 ,"Randolph County, AL"
39,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,866.6 ,"Randolph County, AL"
5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,26.0 ,"Dallas County, AL"
96,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,645.7 ,"Dallas County, AL"
35,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,79.0 ,"Dallas County, AL"
67,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,014.6 ","Dallas County, AL"
6,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,25.7 ,"Tallapoosa County, AL"
