Year,County,Hospital,OSHPDID,Surgery,# of Cases (ICD 9),# of Cases (ICD 10),LONGITUDE,LATITUDE
2013,,Statewide,,Colon,7128,,,
2013,,Statewide,,Bladder,892,,,
2013,,Statewide,,Rectum,2128,,,
2013,,Statewide,,Breast,25829,,,
2013,,Statewide,,Brain,2719,,,
2013,,Statewide,,Pancreas,819,,,
2013,,Statewide,,Lung,3145,,,
2013,,Statewide,,Liver,1159,,,
2013,,Statewide,,Esophagus,337,,,
2013,,Statewide,,Stomach,1010,,,
2013,,Statewide,,Prostate,6145,,,
2013,Alameda,Alameda Hospital,106010735,Stomach,1,,-122.25362,37.762953
2013,Alameda,Alameda Hospital,106010735,Colon,3,,-122.25362,37.762953
2013,Alameda,Alameda Hospital,106010735,Breast,2,,-122.25362,37.762953
2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Brain,8,,-122.25784,37.85633
2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Colon,12,,-122.25784,37.85633
2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Prostate,4,,-122.25784,37.85633
2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Esophagus,1,,-122.25784,37.85633
2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Breast,95,,-122.25784,37.85633
2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Rectum,2,,-122.25784,37.85633
2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Lung,6,,-122.25784,37.85633
2013,Alameda,Highland Hospital,106010846,Stomach,3,,-122.2312,37.79917
2013,Alameda,Highland Hospital,106010846,Pancreas,1,,-122.2312,37.79917
2013,Alameda,Highland Hospital,106010846,Rectum,6,,-122.2312,37.79917
2013,Alameda,Highland Hospital,106010846,Lung,12,,-122.2312,37.79917
2013,Alameda,Highland Hospital,106010846,Esophagus,2,,-122.2312,37.79917
2013,Alameda,Highland Hospital,106010846,Colon,22,,-122.2312,37.79917
2013,Alameda,Highland Hospital,106010846,Breast,34,,-122.2312,37.79917
2013,Alameda,Highland Hospital,106010846,Brain,1,,-122.2312,37.79917
2013,Alameda,Highland Hospital,106010846,Prostate,8,,-122.2312,37.79917
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,Breast,293,,-122.25792,37.82425
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,Colon,74,,-122.25792,37.82425
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,Rectum,24,,-122.25792,37.82425
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,Liver,13,,-122.25792,37.82425
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,Prostate,59,,-122.25792,37.82425
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,Bladder,21,,-122.25792,37.82425
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,Stomach,14,,-122.25792,37.82425
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,Esophagus,14,,-122.25792,37.82425
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,Lung,46,,-122.25792,37.82425
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,Pancreas,12,,-122.25792,37.82425
2013,Alameda,Kaiser Foundation Hospital – Hayward,106010858,Esophagus,1,,-122.09338,37.62593
2013,Alameda,Kaiser Foundation Hospital – Hayward,106010858,Prostate,2,,-122.09338,37.62593
2013,Alameda,Kaiser Foundation Hospital – Hayward,106010858,Breast,194,,-122.09338,37.62593
2013,Alameda,Kaiser Foundation Hospital – Hayward,106010858,Stomach,7,,-122.09338,37.62593
2013,Alameda,Kaiser Foundation Hospital – Hayward,106010858,Liver,10,,-122.09338,37.62593
2013,Alameda,Kaiser Foundation Hospital – Hayward,106010858,Rectum,19,,-122.09338,37.62593
2013,Alameda,Kaiser Foundation Hospital – Hayward,106010858,Colon,43,,-122.09338,37.62593
2013,Alameda,Kaiser Foundation Hospital – Hayward,106010858,Bladder,9,,-122.09338,37.62593
2013,Alameda,Kaiser Foundation Hospital – Hayward,106010858,Pancreas,6,,-122.09338,37.62593
2013,Alameda,Kaiser Foundation Hospital – Hayward,106010858,Lung,21,,-122.09338,37.62593
2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,Rectum,14,,-122.26257,37.82106
2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,Lung,22,,-122.26257,37.82106
2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,Colon,43,,-122.26257,37.82106
2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,Pancreas,10,,-122.26257,37.82106
2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,Stomach,11,,-122.26257,37.82106
2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,Liver,7,,-122.26257,37.82106
2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,Breast,208,,-122.26257,37.82106
2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,Esophagus,2,,-122.26257,37.82106
2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,Prostate,19,,-122.26257,37.82106
2013,Alameda,Saint Rose Hospital,106010967,Liver,1,,-122.08962,37.63291
2013,Alameda,Saint Rose Hospital,106010967,Prostate,1,,-122.08962,37.63291
2013,Alameda,Saint Rose Hospital,106010967,Breast,17,,-122.08962,37.63291
2013,Alameda,Saint Rose Hospital,106010967,Bladder,1,,-122.08962,37.63291
2013,Alameda,Saint Rose Hospital,106010967,Rectum,3,,-122.08962,37.63291
2013,Alameda,Saint Rose Hospital,106010967,Colon,7,,-122.08962,37.63291
2013,Alameda,Washington Hospital – Fremont,106010987,Breast,39,,-121.98006,37.55847
2013,Alameda,Washington Hospital – Fremont,106010987,Rectum,5,,-121.98006,37.55847
2013,Alameda,Washington Hospital – Fremont,106010987,Lung,3,,-121.98006,37.55847
2013,Alameda,Washington Hospital – Fremont,106010987,Esophagus,1,,-121.98006,37.55847
2013,Alameda,Washington Hospital – Fremont,106010987,Prostate,3,,-121.98006,37.55847
2013,Alameda,Washington Hospital – Fremont,106010987,Brain,7,,-121.98006,37.55847
2013,Alameda,Washington Hospital – Fremont,106010987,Colon,24,,-121.98006,37.55847
2013,Alameda,Washington Hospital – Fremont,106010987,Stomach,2,,-121.98006,37.55847
2013,Alameda,San Leandro Hospital,106013619,Breast,20,,-122.14067,37.71364
