Primary_State_Name,County_State,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
Alabama,"Autauga County, AL",54864,55243,55390,55533,55869
Alabama,"Baldwin County, AL",202939,207601,212521,217855,223234
Alabama,"Barbour County, AL",26283,25806,25157,24872,24686
Alabama,"Bibb County, AL",22566,22586,22550,22367,22394
Alabama,"Blount County, AL",57526,57494,57787,57771,57826
Alabama,"Bullock County, AL",10400,10389,10176,10174,10101
Alabama,"Butler County, AL",20162,20012,19888,19631,19448
Alabama,"Calhoun County, AL",115469,114973,114710,114331,113605
Alabama,"Chambers County, AL",33996,33745,33707,33600,33254
Alabama,"Cherokee County, AL",25732,25768,25805,26014,26196
Alabama,"Chilton County, AL",43700,43866,44120,44163,44428
Alabama,"Choctaw County, AL",13231,13045,12925,12833,12589
Alabama,"Clarke County, AL",24698,24340,24063,23918,23622
Alabama,"Clay County, AL",13415,13393,13350,13294,13235
Alabama,"Cleburne County, AL",14914,14848,14899,15010,14910
Alabama,"Coffee County, AL",50963,51202,51853,51950,52342
Alabama,"Colbert County, AL",54417,54497,54695,55004,55241
Alabama,"Conecuh County, AL",12678,12500,12431,12292,12067
Alabama,"Coosa County, AL",10934,10819,10724,10643,10663
Alabama,"Covington County, AL",37556,37382,37062,36953,37049
Alabama,"Crenshaw County, AL",13850,13916,13858,13825,13772
Alabama,"Cullman County, AL",81761,82450,82867,83418,83768
Alabama,"Dale County, AL",49365,49362,49342,49143,49172
Alabama,"Dallas County, AL",40936,40080,39238,38294,37196
Alabama,"DeKalb County, AL",71087,71104,71437,71407,71513
Alabama,"Elmore County, AL",80872,81204,81422,81011,81209
Alabama,"Escambia County, AL",37661,37475,36993,36524,36633
Alabama,"Etowah County, AL",102998,102855,103007,102611,102268
Alabama,"Fayette County, AL",16696,16563,16466,16445,16302
Alabama,"Franklin County, AL",31515,31611,31542,31298,31362
Alabama,"Geneva County, AL",26631,26494,26385,26306,26271
Alabama,"Greene County, AL",8508,8482,8310,8209,8111
Alabama,"Hale County, AL",15015,14828,14801,14749,14651
Alabama,"Henry County, AL",17101,17072,17115,17173,17205
Alabama,"Houston County, AL",104260,104218,104378,104770,105882
Alabama,"Jackson County, AL",52195,51988,51828,51621,51626
Alabama,"Jefferson County, AL",660455,660343,659599,659429,658573
Alabama,"Lamar County, AL",13927,13928,13882,13882,13805
Alabama,"Lauderdale County, AL",92459,92425,92564,92604,92729
Alabama,"Lawrence County, AL",33135,33227,33063,32941,32924
Alabama,"Lee County, AL",156954,159168,161440,163656,164542
Alabama,"Limestone County, AL",91565,92847,94130,96177,98915
Alabama,"Lowndes County, AL",10350,10248,10097,9974,9726
Alabama,"Macon County, AL",19296,19060,18793,18321,18068
Alabama,"Madison County, AL",352977,356729,361762,367004,372909
Alabama,"Marengo County, AL",19766,19525,19396,19056,18863
Alabama,"Marion County, AL",30119,29960,29792,29750,29709
Alabama,"Marshall County, AL",94585,95113,95572,96170,96774
Alabama,"Mobile County, AL",414462,414945,414045,413908,413210
Alabama,"Monroe County, AL",21717,21548,21290,21062,20733
Alabama,"Montgomery County, AL",227279,227170,227265,226504,226486
Alabama,"Morgan County, AL",119257,119006,118918,119203,119679
Alabama,"Perry County, AL",9640,9532,9302,9070,8923
Alabama,"Pickens County, AL",20776,20325,20204,19980,19930
Alabama,"Pike County, AL",33496,33464,33349,33242,33114
Alabama,"Randolph County, AL",22594,22504,22687,22727,22722
