placeDcid,placeName,Median_Income_Person
geoId/01001,"Autauga County, AL",29611
geoId/01003,"Baldwin County, AL",30558
geoId/01005,"Barbour County, AL",19111
geoId/01007,"Bibb County, AL",22100
geoId/01009,"Blount County, AL",26998
geoId/01011,"Bullock County, AL",21481
geoId/01013,"Butler County, AL",20952
geoId/01015,"Calhoun County, AL",25191
geoId/01017,"Chambers County, AL",23436
geoId/01019,"Cherokee County, AL",24325
geoId/01021,"Chilton County, AL",25602
geoId/01023,"Choctaw County, AL",21793
geoId/01025,"Clarke County, AL",21952
geoId/01027,"Clay County, AL",23105
geoId/01029,"Cleburne County, AL",26221
geoId/01031,"Coffee County, AL",27683
geoId/01033,"Colbert County, AL",26121
geoId/01035,"Conecuh County, AL",21238
geoId/01037,"Coosa County, AL",22108
geoId/01039,"Covington County, AL",25808
geoId/01041,"Crenshaw County, AL",22230
geoId/01043,"Cullman County, AL",25472
geoId/01045,"Dale County, AL",24824
geoId/01047,"Dallas County, AL",20938
geoId/01049,"DeKalb County, AL",23282
geoId/01051,"Elmore County, AL",31019
geoId/01053,"Escambia County, AL",22747
geoId/01055,"Etowah County, AL",24321
geoId/01057,"Fayette County, AL",21245
geoId/01059,"Franklin County, AL",24061
geoId/01061,"Geneva County, AL",22168
geoId/01063,"Greene County, AL",18127
geoId/01065,"Hale County, AL",18364
geoId/01067,"Henry County, AL",24649
geoId/01069,"Houston County, AL",26243
geoId/01071,"Jackson County, AL",24231
geoId/01073,"Jefferson County, AL",30328
geoId/01075,"Lamar County, AL",22595
geoId/01077,"Lauderdale County, AL",26424
geoId/01079,"Lawrence County, AL",25519
geoId/01081,"Lee County, AL",26380
geoId/01083,"Limestone County, AL",29303
geoId/01085,"Lowndes County, AL",20328
geoId/01087,"Macon County, AL",19505
geoId/01089,"Madison County, AL",34448
geoId/01091,"Marengo County, AL",23742
geoId/01093,"Marion County, AL",20853
geoId/01095,"Marshall County, AL",25730
geoId/01097,"Mobile County, AL",26718
geoId/01099,"Monroe County, AL",22504
geoId/01101,"Montgomery County, AL",27263
geoId/01103,"Morgan County, AL",27306
geoId/01105,"Perry County, AL",15560
geoId/01107,"Pickens County, AL",20839
geoId/01109,"Pike County, AL",22274
geoId/01111,"Randolph County, AL",25140
geoId/01113,"Russell County, AL",25281
geoId/01115,"St. Clair County, AL",30269
geoId/01117,"Shelby County, AL",38721
geoId/01119,"Sumter County, AL",16495
geoId/01121,"Talladega County, AL",23045
geoId/01123,"Tallapoosa County, AL",24608
geoId/01125,"Tuscaloosa County, AL",26205
