Average Annual Count,Primary_State_Name,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000",County_State
30,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,681.2 ,"Lowndes County, AL"
30,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,694.0 ,"Lowndes County, AL"
51,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,570.1 ,"Lowndes County, AL"
80,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,558.3 ,"Crenshaw County, AL"
80,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,565.3 ,"Crenshaw County, AL"
18,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,442.0 ,"Crenshaw County, AL"
15,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,542.5 ,"Greene County, AL"
15,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,553.2 ,"Greene County, AL"
41,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,452.5 ,"Greene County, AL"
158,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,519.5 ,"Chambers County, AL"
157,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,523.6 ,"Chambers County, AL"
76,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,479.2 ,"Chambers County, AL"
418,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,509.3 ,"Walker County, AL"
416,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,511.1 ,"Walker County, AL"
25,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,608.2 ,"Walker County, AL"
186,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,506.0 ,"Lawrence County, AL"
185,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,508.3 ,"Lawrence County, AL"
26,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,484.2 ,"Lawrence County, AL"
95,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,505.4 ,"Dallas County, AL"
95,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,505.1 ,"Dallas County, AL"
145,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,467.6 ,"Dallas County, AL"
91,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,502.8 ,"Lamar County, AL"
91,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,505.6 ,"Lamar County, AL"
10,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,504.6 ,"Lamar County, AL"
392,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,499.3 ,"Elmore County, AL"
390,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,503.0 ,"Elmore County, AL"
74,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,525.2 ,"Elmore County, AL"
4,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,285.9 ,"Elmore County, AL"
26,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,494.0 ,"Macon County, AL"
26,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,507.5 ,"Macon County, AL"
95,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,476.7 ,"Macon County, AL"
23,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,489.0 ,"Sumter County, AL"
23,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,494.4 ,"Sumter County, AL"
50,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,461.6 ,"Sumter County, AL"
255,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,485.3 ,"Autauga County, AL"
252,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,488.0 ,"Autauga County, AL"
54,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,515.5 ,"Autauga County, AL"
566,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,475.6 ,"Calhoun County, AL"
4,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,153.1 ,"Calhoun County, AL"
563,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,480.9 ,"Calhoun County, AL"
108,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,446.1 ,"Calhoun County, AL"
3,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,231.3 ,"Calhoun County, AL"
5,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,198.2 ,"Calhoun County, AL"
77,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,475.1 ,"Clay County, AL"
77,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,476.9 ,"Clay County, AL"
10,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,404.2 ,"Clay County, AL"
98,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,473.9 ,"Barbour County, AL"
98,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,484.6 ,"Barbour County, AL"
52,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,374.9 ,"Barbour County, AL"
25,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,472.0 ,"Wilcox County, AL"
25,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,476.3 ,"Wilcox County, AL"
43,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,477.1 ,"Wilcox County, AL"
631,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,471.3 ,"Morgan County, AL"
8,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,262.3 ,"Morgan County, AL"
623,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,479.4 ,"Morgan County, AL"
70,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,526.9 ,"Morgan County, AL"
13,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,429.5 ,"Morgan County, AL"
464,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,469.5 ,"St. Clair County, AL"
463,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,473.6 ,"St. Clair County, AL"
36,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,442.1 ,"St. Clair County, AL"
348,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,469.0 ,"Talladega County, AL"
347,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,473.1 ,"Talladega County, AL"
113,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,412.0 ,"Talladega County, AL"
548,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,464.6 ,"Etowah County, AL"
546,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,469.3 ,"Etowah County, AL"
