Average Annual Count,Recent Trend,Primary_State_Name,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000",Recent 5-Year Trend in Death Rates,County_State
181,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,213.2 ,213.2 ,"Walker County, AL"
180,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,213.9 ,213.9 ,"Walker County, AL"
10,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,281.1 ,281.1 ,"Walker County, AL"
32,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,211.2 ,211.2 ,"Crenshaw County, AL"
32,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,214.0 ,214.0 ,"Crenshaw County, AL"
7,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,175.2 ,175.2 ,"Crenshaw County, AL"
78,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,201.7 ,201.7 ,"Russell County, AL"
77,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,203.6 ,203.6 ,"Russell County, AL"
50,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,204.2 ,204.2 ,"Russell County, AL"
71,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,199.5 ,199.5 ,"Escambia County, AL"
70,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,201.0 ,201.0 ,"Escambia County, AL"
22,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,177.3 ,177.3 ,"Escambia County, AL"
139,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,199.4 ,199.4 ,"Jackson County, AL"
138,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,200.7 ,200.7 ,"Jackson County, AL"
4,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,177.8 ,177.8 ,"Jackson County, AL"
63,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,198.6 ,198.6 ,"Chambers County, AL"
62,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,199.4 ,199.4 ,"Chambers County, AL"
27,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,169.7 ,169.7 ,"Chambers County, AL"
10,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,198.1 ,198.1 ,"Macon County, AL"
10,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,204.9 ,204.9 ,"Macon County, AL"
43,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,210.2 ,210.2 ,"Macon County, AL"
41,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,197.9 ,197.9 ,"Dallas County, AL"
41,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,198.8 ,198.8 ,"Dallas County, AL"
60,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,201.4 ,201.4 ,"Dallas County, AL"
74,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,194.0 ,194.0 ,"Lawrence County, AL"
73,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,194.3 ,194.3 ,"Lawrence County, AL"
10,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,181.1 ,181.1 ,"Lawrence County, AL"
40,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,189.7 ,189.7 ,"Barbour County, AL"
40,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,192.6 ,192.6 ,"Barbour County, AL"
23,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,176.1 ,176.1 ,"Barbour County, AL"
28,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,189.2 ,189.2 ,"Marengo County, AL"
27,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,183.0 ,183.0 ,"Marengo County, AL"
24,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,202.5 ,202.5 ,"Marengo County, AL"
67,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,188.3 ,188.3 ,"Geneva County, AL"
67,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,190.5 ,190.5 ,"Geneva County, AL"
5,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,169.6 ,169.6 ,"Geneva County, AL"
38,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,187.8 ,187.8 ,"Henry County, AL"
38,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,188.1 ,188.1 ,"Henry County, AL"
11,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,185.3 ,185.3 ,"Henry County, AL"
40,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,186.9 ,186.9 ,"Fayette County, AL"
40,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,188.0 ,188.0 ,"Fayette County, AL"
7,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,274.6 ,274.6 ,"Fayette County, AL"
148,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,186.1 ,186.1 ,"Talladega County, AL"
147,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,186.9 ,186.9 ,"Talladega County, AL"
49,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,190.6 ,190.6 ,"Talladega County, AL"
42,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,184.9 ,184.9 ,"Bibb County, AL"
42,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,186.7 ,186.7 ,"Bibb County, AL"
8,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,190.5 ,190.5 ,"Bibb County, AL"
36,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,184.6 ,184.6 ,"Lamar County, AL"
36,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,186.3 ,186.3 ,"Lamar County, AL"
4,*,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,201.9 ,201.9 ,"Lamar County, AL"
33,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,184.3 ,184.3 ,"Clay County, AL"
32,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,185.0 ,185.0 ,"Clay County, AL"
5,*,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,191.6 ,191.6 ,"Clay County, AL"
139,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,182.7 ,182.7 ,"Blount County, AL"
138,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,186.8 ,186.8 ,"Blount County, AL"
226,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,182.2 ,182.2 ,"Etowah County, AL"
224,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,182.9 ,182.9 ,"Etowah County, AL"
32,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,185.2 ,185.2 ,"Etowah County, AL"
81,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,182.0 ,182.0 ,"Marion County, AL"
80,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,182.3 ,182.3 ,"Marion County, AL"
