Average Annual Count,Primary_State_Name,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000",County_State
47,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,730.1 ,"Lowndes County, AL"
35,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,504.8 ,"Lowndes County, AL"
129,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,607.4 ,"Chambers County, AL"
107,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,437.8 ,"Chambers County, AL"
256,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,591.1 ,"Elmore County, AL"
219,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,439.7 ,"Elmore County, AL"
41,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,590.8 ,"Sumter County, AL"
34,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,398.1 ,"Sumter County, AL"
51,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,582.9 ,"Crenshaw County, AL"
48,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,497.5 ,"Crenshaw County, AL"
68,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,581.0 ,"Macon County, AL"
56,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,419.6 ,"Macon County, AL"
170,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,575.8 ,"Autauga County, AL"
145,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,430.3 ,"Autauga County, AL"
235,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,575.8 ,"Walker County, AL"
212,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,469.2 ,"Walker County, AL"
55,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,573.2 ,"Lamar County, AL"
46,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,445.4 ,"Lamar County, AL"
38,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,567.9 ,"Wilcox County, AL"
31,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,412.1 ,"Wilcox County, AL"
30,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,567.9 ,"Perry County, AL"
24,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,357.3 ,"Perry County, AL"
74,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,552.5 ,"Bibb County, AL"
55,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,402.1 ,"Bibb County, AL"
85,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,551.8 ,"Clarke County, AL"
72,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,408.1 ,"Clarke County, AL"
382,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,550.6 ,"Morgan County, AL"
334,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,426.4 ,"Morgan County, AL"
