Average Annual Count,Primary_State_Name,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000",County_State
18,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,296.3,"Wilcox County, AL"
13,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,153.2,"Wilcox County, AL"
32,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,290.7,"Macon County, AL"
22,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.1,"Macon County, AL"
17,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,283.8,"Lowndes County, AL"
11,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,145.1,"Lowndes County, AL"
111,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,281.1,"Walker County, AL"
81,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,163.1,"Walker County, AL"
60,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,271.3,"Dallas County, AL"
41,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.4,"Dallas County, AL"
59,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,265.3,"Escambia County, AL"
37,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,140.8,"Escambia County, AL"
52,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,262.9,"Chambers County, AL"
38,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.1,"Chambers County, AL"
16,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,259.1,"Sumter County, AL"
14,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,147.2,"Sumter County, AL"
13,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,254.8,"Perry County, AL"
9,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,114.9,"Perry County, AL"
13,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,252.4,"Bullock County, AL"
13,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,191.5,"Bullock County, AL"
68,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,251.4,"Russell County, AL"
61,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,169.0,"Russell County, AL"
39,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,247.4,"Pike County, AL"
27,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,138.0,"Pike County, AL"
82,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,245.1,"Jackson County, AL"
62,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,154.2,"Jackson County, AL"
22,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,239.2,"Lamar County, AL"
17,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,147.2,"Lamar County, AL"
30,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,239.0,"Bibb County, AL"
20,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,137.3,"Bibb County, AL"
37,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,238.3,"Barbour County, AL"
27,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,143.7,"Barbour County, AL"
50,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,236.8,"Lawrence County, AL"
35,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,142.5,"Lawrence County, AL"
65,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,236.0,"Tallapoosa County, AL"
47,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,147.6,"Tallapoosa County, AL"
58,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,235.0,"Covington County, AL"
49,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,157.2,"Covington County, AL"
112,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,234.6,"Talladega County, AL"
85,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,145.6,"Talladega County, AL"
21,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,233.9,"Crenshaw County, AL"
