,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000",County_State
0,18,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,296.3,"Wilcox County, AL"
1,13,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,153.2,"Wilcox County, AL"
2,32,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,290.7,"Macon County, AL"
3,22,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.1,"Macon County, AL"
4,17,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,283.8,"Lowndes County, AL"
5,11,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,145.1,"Lowndes County, AL"
6,111,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,281.1,"Walker County, AL"
7,81,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,163.1,"Walker County, AL"
8,60,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,271.3,"Dallas County, AL"
9,41,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.4,"Dallas County, AL"
10,59,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,265.3,"Escambia County, AL"
11,37,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,140.8,"Escambia County, AL"
12,52,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,262.9,"Chambers County, AL"
13,38,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.1,"Chambers County, AL"
14,16,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,259.1,"Sumter County, AL"
15,14,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,147.2,"Sumter County, AL"
16,13,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,254.8,"Perry County, AL"
17,9,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,114.9,"Perry County, AL"
18,13,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,252.4,"Bullock County, AL"
19,13,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,191.5,"Bullock County, AL"
20,68,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,251.4,"Russell County, AL"
21,61,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,169.0,"Russell County, AL"
22,39,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,247.4,"Pike County, AL"
23,27,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,138.0,"Pike County, AL"
24,82,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,245.1,"Jackson County, AL"
25,62,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,154.2,"Jackson County, AL"
