,Primary_State_Name,County,Index_of_Medical_Underservice_Score
0,Alabama,"Autauga County, AL",52.0
1,Alabama,"Bibb County, AL",47.0
2,Alabama,"Blount County, AL",56.0
3,Alabama,"Bullock County, AL",61.0
4,Alabama,"Calhoun County, AL",61.0
5,Alabama,"Cherokee County, AL",56.0
6,Alabama,"Choctaw County, AL",58.0
7,Alabama,"Clay County, AL",60.0
8,Alabama,"Cleburne County, AL",61.0
9,Alabama,"Coffee County, AL",60.0
10,Alabama,"Colbert County, AL",57.0
11,Alabama,"Conecuh County, AL",51.0
12,Alabama,"Coosa County, AL",52.0
13,Alabama,"Covington County, AL",54.0
14,Alabama,"Crenshaw County, AL",58.0
15,Alabama,"Cullman County, AL",51.0
16,Alabama,"Dale County, AL",61.0
17,Alabama,"DeKalb County, AL",50.0
18,Alabama,"Elmore County, AL",48.0
19,Alabama,"Escambia County, AL",53.0
20,Alabama,"Etowah County, AL",54.71428571428572
21,Alabama,"Fayette County, AL",58.0
22,Alabama,"Lamar County, AL",58.0
23,Alabama,"Marion County, AL",50.0
24,Alabama,"Franklin County, AL",59.0
25,Alabama,"Greene County, AL",56.0
26,Alabama,"Hale County, AL",55.0
27,Alabama,"Henry County, AL",60.0
28,Alabama,"Houston County, AL",57.0
29,Alabama,"Jackson County, AL",53.0
30,Alabama,"Jefferson County, AL",55.42857142857143
31,Alabama,"Chambers County, AL",59.5
32,Alabama,"Lauderdale County, AL",58.0
33,Alabama,"Lawrence County, AL",44.0
34,Alabama,"Lee County, AL",55.0
35,Alabama,"Limestone County, AL",49.75
36,Alabama,"Lowndes County, AL",54.0
37,Alabama,"Macon County, AL",28.0
38,Alabama,"Madison County, AL",56.0
39,Alabama,"Marengo County, AL",54.0
40,Alabama,"Marshall County, AL",58.0
41,Alabama,"Mobile County, AL",57.0
42,Alabama,"Montgomery County, AL",48.4
43,Alabama,"Morgan County, AL",59.0
44,Alabama,"Perry County, AL",58.0
45,Alabama,"Pickens County, AL",58.0
46,Alabama,"Randolph County, AL",61.0
47,Alabama,"Russell County, AL",46.0
48,Georgia,"Russell County, AL",46.0
49,Alabama,"Shelby County, AL",49.0
50,Georgia,"Muscogee County, GA",50.333333333333336
51,Alabama,"St. Clair County, AL",42.0
52,Alabama,"Sumter County, AL",40.0
53,Alabama,"Talladega County, AL",45.0
54,Alabama,"Tallapoosa County, AL",53.0
55,Alabama,"Tuscaloosa County, AL",49.75
56,Alabama,"Washington County, AL",32.0
57,Alabama,"Winston County, AL",58.0
58,Alabama,"Barbour County, AL",61.0
59,Alabama,"Butler County, AL",60.0
60,Alabama,"Chilton County, AL",57.0
61,Alabama,"Clarke County, AL",57.0
62,Alabama,"Dallas County, AL",50.0
63,Alabama,"Geneva County, AL",57.0
64,Alabama,"Monroe County, AL",61.0
65,Alabama,"Pike County, AL",60.0
66,Alabama,"Walker County, AL",61.0
67,Alabama,"Wilcox County, AL",51.0
68,Alaska,"Aleutians East Borough, AK",61.0
69,Alaska,"Aleutians West Census Area, AK",61.0
70,Alaska,"Anchorage Borough, AK",61.0
71,Alaska,"Bethel Census Area, AK",47.0
72,Alaska,"Bristol Bay Borough, AK",60.0
73,Alaska,"Valdez-Cordova Census Area, AK",16.666666666666668
74,Alaska,"Yukon-Koyukuk Census Area, AK",54.333333333333336
75,Alaska,"Lake and Peninsula Borough, AK",58.0
76,Alaska,"Nome Census Area, AK",37.0
77,Alaska,"Northwest Arctic Borough, AK",37.0
78,Alaska,"Ketchikan Gateway Borough, AK",60.0
79,Alaska,"Prince of Wales-Hyder Census Area, AK",60.0
80,Alaska,"North Slope Borough, AK",57.0
81,Alaska,"Hoonah-Angoon Census Area, AK",59.0
82,Alaska,"Skagway Municipality, AK",59.0
83,Alaska,"Kusilvak Census Area, AK",32.0
84,Alaska,"Yakutat Borough, AK",60.0
85,Alaska,"Kenai Peninsula Borough, AK",0.0
86,Alaska,"Fairbanks North Star Borough, AK",0.0
87,Alaska,"Haines Borough, AK",0.0
88,Alaska,"Denali Borough, AK",0.0
89,Alaska,"Dillingham Census Area, AK",0.0
90,Alaska,"Kodiak Island Borough, AK",0.0
91,Alaska,"Southeast Fairbanks Census Area, AK",0.0
92,Alaska,"Matanuska-Susitna Borough, AK",0.0
93,Alaska,"Juneau Borough, AK",63.0
94,Alaska,"Wrangell City and Borough, AK",0.0
95,Arizona,"Pima County, AZ",56.5
96,Arizona,"Apache County, AZ",35.0
97,Arizona,"Pinal County, AZ",53.25
98,Arizona,"Cochise County, AZ",58.0
99,Arizona,"Maricopa County, AZ",56.125
100,Arizona,"Gila County, AZ",50.0
101,Arizona,"Graham County, AZ",61.0
102,Arizona,"Greenlee County, AZ",61.0
103,Arizona,"Mohave County, AZ",52.42857142857143
104,Arizona,"Navajo County, AZ",38.0
105,Arizona,"La Paz County, AZ",50.0
106,Arizona,"Santa Cruz County, AZ",61.0
107,Arizona,"Coconino County, AZ",36.66666666666666
108,Arizona,"Yuma County, AZ",50.0
109,Arizona,"Yavapai County, AZ",56.0
110,Arkansas,"Arkansas County, AR",58.0
111,Arkansas,"Ashley County, AR",53.0
112,Arkansas,"Baxter County, AR",46.0
113,Arkansas,"White County, AR",55.25
114,Arkansas,"Craighead County, AR",55.5
115,Arkansas,"Union County, AR",55.333333333333336
116,Arkansas,"Bradley County, AR",58.0
117,Arkansas,"Calhoun County, AR",53.0
118,Arkansas,"Carroll County, AR",47.0
119,Arkansas,"Pulaski County, AR",54.333333333333336
120,Arkansas,"Chicot County, AR",37.0
121,Arkansas,"Clark County, AR",61.0
122,Arkansas,"Clay County, AR",47.0
123,Arkansas,"Cleburne County, AR",57.0
124,Arkansas,"Cleveland County, AR",39.0
125,Arkansas,"Columbia County, AR",58.0
126,Arkansas,"Conway County, AR",50.0
127,Arkansas,"Crawford County, AR",53.0
128,Arkansas,"Crittenden County, AR",34.0
129,Arkansas,"Cross County, AR",39.0
130,Arkansas,"Dallas County, AR",55.0
131,Arkansas,"Benton County, AR",57.5
132,Arkansas,"Desha County, AR",56.0
133,Arkansas,"Pope County, AR",59.5
134,Arkansas,"Drew County, AR",58.0
135,Arkansas,"Faulkner County, AR",58.0
136,Arkansas,"Sebastian County, AR",54.0
