,Average Annual Count,Recent Trend,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000",Recent 5-Year Trend in Incidence Rates,County_State
0,9,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,167.8 ,2.3 ,"Lowndes County, AL"
1,72,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,738.4 ",2.0 ,"Lowndes County, AL"
2,37,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,339.4 ,2.4 ,"Lowndes County, AL"
3,44,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,416.0 ",1.8 ,"Lowndes County, AL"
4,9,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,145.2 ,2.0 ,"Conecuh County, AL"
5,72,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,261.5 ",-0.5 ,"Conecuh County, AL"
6,37,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,276.9 ,0.6 ,"Conecuh County, AL"
7,44,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,659.8 ",-0.7 ,"Conecuh County, AL"
8,6,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,144.7 ,2.9 ,"Greene County, AL"
9,51,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,348.8 ",0.1 ,"Greene County, AL"
10,24,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,270.3 ,0.3 ,"Greene County, AL"
11,32,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,893.0 ",0.8 ,"Greene County, AL"
12,17,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,142.9 ,2.9 ,"Pickens County, AL"
13,112,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,379.0 ",0.1 ,"Pickens County, AL"
14,61,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,282.6 ,1.0 ,"Pickens County, AL"
15,69,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,874.7 ",0.1 ,"Pickens County, AL"
16,7,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,141.5 ,3.4 ,"Perry County, AL"
17,47,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,254.5 ",-0.1 ,"Perry County, AL"
18,24,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,267.4 ,1.8 ,"Perry County, AL"
19,30,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,689.7 ",-0.7 ,"Perry County, AL"
20,11,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,138.5 ,3.3 ,"Crenshaw County, AL"
21,88,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,572.8 ",2.6 ,"Crenshaw County, AL"
22,45,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,298.3 ,3.2 ,"Crenshaw County, AL"
23,55,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,169.4 ",2.2 ,"Crenshaw County, AL"
24,10,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,131.4 ,1.2 ,"Lamar County, AL"
25,91,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,477.3 ",1.1 ,"Lamar County, AL"
26,46,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,304.5 ,2.0 ,"Lamar County, AL"
27,56,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,863.7 ",0.2 ,"Lamar County, AL"
28,12,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,130.7 ,3.7 ,"Fayette County, AL"
29,92,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,266.8 ",-0.1 ,"Fayette County, AL"
30,43,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,245.9 ,1.3 ,"Fayette County, AL"
