,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000",County_State
0,4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,38.8 ,"Marengo County, AL"
1,48,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,606.5 ,"Marengo County, AL"
2,18,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,84.7 ,"Marengo County, AL"
3,35,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,963.0 ,"Marengo County, AL"
4,9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,30.2 ,"Jackson County, AL"
5,134,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,626.1 ,"Jackson County, AL"
6,48,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,80.3 ,"Jackson County, AL"
7,96,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,986.9 ,"Jackson County, AL"
8,3,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,27.6 ,"Randolph County, AL"
9,53,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,542.7 ,"Randolph County, AL"
10,18,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,69.2 ,"Randolph County, AL"
11,39,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,866.6 ,"Randolph County, AL"
12,5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,26.0 ,"Dallas County, AL"
13,96,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,645.7 ,"Dallas County, AL"
14,35,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,79.0 ,"Dallas County, AL"
15,67,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,014.6 ","Dallas County, AL"
16,6,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,25.7 ,"Tallapoosa County, AL"
17,107,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,605.9 ,"Tallapoosa County, AL"
18,34,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,70.1 ,"Tallapoosa County, AL"
19,79,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,987.7 ,"Tallapoosa County, AL"
20,4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,25.7 ,"Bibb County, AL"
21,47,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,595.2 ,"Bibb County, AL"
22,16,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,68.4 ,"Bibb County, AL"
23,34,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,975.3 ,"Bibb County, AL"
24,5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,25.6 ,"Franklin County, AL"
25,63,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,561.7 ,"Franklin County, AL"
26,20,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,62.3 ,"Franklin County, AL"
27,47,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,944.1 ,"Franklin County, AL"
28,4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,24.9 ,"Pike County, AL"
29,63,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,604.7 ,"Pike County, AL"
30,24,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,81.8 ,"Pike County, AL"
31,43,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,899.4 ,"Pike County, AL"
32,5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,23.1 ,"Chambers County, AL"
33,85,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,620.1 ,"Chambers County, AL"
34,26,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,66.0 ,"Chambers County, AL"
35,64,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,031.8 ","Chambers County, AL"
36,9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,22.4 ,"Walker County, AL"
37,183,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,719.4 ,"Walker County, AL"
38,59,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,78.5 ,"Walker County, AL"
39,133,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,159.0 ","Walker County, AL"
40,5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,22.3 ,"Covington County, AL"
41,103,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,628.2 ,"Covington County, AL"
42,33,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,76.0 ,"Covington County, AL"
43,74,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,976.3 ,"Covington County, AL"
44,3,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,21.9 ,"Cherokee County, AL"
45,66,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,549.4 ,"Cherokee County, AL"
46,20,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,64.2 ,"Cherokee County, AL"
47,49,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,883.1 ,"Cherokee County, AL"
48,7,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,21.5 ,"Colbert County, AL"
49,134,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,589.2 ,"Colbert County, AL"
50,45,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,69.9 ,"Colbert County, AL"
51,96,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,928.7 ,"Colbert County, AL"
52,4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.6 ,"Lawrence County, AL"
53,80,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,612.5 ,"Lawrence County, AL"
54,29,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,73.1 ,"Lawrence County, AL"
55,55,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,951.6 ,"Lawrence County, AL"
56,10,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.4 ,"Cullman County, AL"
57,178,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,560.8 ,"Cullman County, AL"
58,58,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,62.5 ,"Cullman County, AL"
59,131,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,910.9 ,"Cullman County, AL"
60,12,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.4 ,"Marshall County, AL"
61,195,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,561.3 ,"Marshall County, AL"
62,63,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,61.5 ,"Marshall County, AL"
63,143,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,919.1 ,"Marshall County, AL"
64,49,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.4 ,"Mobile County, AL"
65,842,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,589.5 ,"Mobile County, AL"
66,313,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,69.1 ,"Mobile County, AL"
67,578,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,928.3 ,"Mobile County, AL"
68,11,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.3 ,"Elmore County, AL"
69,150,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,577.5 ,"Elmore County, AL"
70,49,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,54.7 ,"Elmore County, AL"
71,112,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,001.0 ","Elmore County, AL"
72,13,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.1 ,"Houston County, AL"
73,208,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,533.1 ,"Houston County, AL"
74,67,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,58.5 ,"Houston County, AL"
75,153,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,876.1 ,"Houston County, AL"
76,14,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,19.7 ,"Morgan County, AL"
77,249,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,567.1 ,"Morgan County, AL"
78,79,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,58.6 ,"Morgan County, AL"
79,184,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,948.0 ,"Morgan County, AL"
80,13,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,19.7 ,"Etowah County, AL"
81,245,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,604.0 ,"Etowah County, AL"
82,77,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,65.5 ,"Etowah County, AL"
83,180,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,980.3 ,"Etowah County, AL"
84,3,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,19.5 ,"Marion County, AL"
85,80,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,605.8 ,"Marion County, AL"
86,22,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,64.4 ,"Marion County, AL"
87,62,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,991.3 ,"Marion County, AL"
88,26,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.8 ,"Montgomery County, AL"
89,410,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,560.6 ,"Montgomery County, AL"
90,138,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,57.6 ,"Montgomery County, AL"
91,298,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,935.4 ,"Montgomery County, AL"
92,13,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.8 ,"Calhoun County, AL"
93,256,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,603.1 ,"Calhoun County, AL"
94,85,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,65.0 ,"Calhoun County, AL"
95,184,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,976.9 ,"Calhoun County, AL"
96,9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.8 ,"Talladega County, AL"
97,188,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,619.6 ,"Talladega County, AL"
98,63,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,66.0 ,"Talladega County, AL"
99,135,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,006.5 ","Talladega County, AL"
100,11,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.7 ,"St. Clair County, AL"
101,181,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,592.4 ,"St. Clair County, AL"
102,62,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,61.3 ,"St. Clair County, AL"
103,130,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,978.9 ,"St. Clair County, AL"
104,5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.6 ,"Chilton County, AL"
105,90,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,574.5 ,"Chilton County, AL"
106,29,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,59.1 ,"Chilton County, AL"
107,66,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,953.9 ,"Chilton County, AL"
108,7,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.4 ,"Autauga County, AL"
109,99,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,536.1 ,"Autauga County, AL"
110,34,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,56.2 ,"Autauga County, AL"
111,72,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,889.0 ,"Autauga County, AL"
112,4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.3 ,"Escambia County, AL"
113,91,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,651.1 ,"Escambia County, AL"
114,33,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,78.1 ,"Escambia County, AL"
115,62,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,988.4 ,"Escambia County, AL"
116,6,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.6 ,"Russell County, AL"
117,123,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,685.3 ,"Russell County, AL"
118,44,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,69.3 ,"Russell County, AL"
119,85,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,119.9 ","Russell County, AL"
120,6,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.4 ,"Blount County, AL"
121,135,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,613.6 ,"Blount County, AL"
