,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000",County_State
0,47,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,730.1 ,"Lowndes County, AL"
1,35,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,504.8 ,"Lowndes County, AL"
2,129,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,607.4 ,"Chambers County, AL"
3,107,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,437.8 ,"Chambers County, AL"
4,256,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,591.1 ,"Elmore County, AL"
5,219,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,439.7 ,"Elmore County, AL"
6,41,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,590.8 ,"Sumter County, AL"
7,34,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,398.1 ,"Sumter County, AL"
8,51,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,582.9 ,"Crenshaw County, AL"
9,48,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,497.5 ,"Crenshaw County, AL"
10,68,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,581.0 ,"Macon County, AL"
11,56,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,419.6 ,"Macon County, AL"
12,170,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,575.8 ,"Autauga County, AL"
13,145,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,430.3 ,"Autauga County, AL"
14,235,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,575.8 ,"Walker County, AL"
15,212,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,469.2 ,"Walker County, AL"
16,55,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,573.2 ,"Lamar County, AL"
17,46,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,445.4 ,"Lamar County, AL"
18,38,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,567.9 ,"Wilcox County, AL"
19,31,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,412.1 ,"Wilcox County, AL"
20,30,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,567.9 ,"Perry County, AL"
21,24,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,357.3 ,"Perry County, AL"
22,74,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,552.5 ,"Bibb County, AL"
23,55,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,402.1 ,"Bibb County, AL"
24,85,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,551.8 ,"Clarke County, AL"
25,72,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,408.1 ,"Clarke County, AL"
26,382,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,550.6 ,"Morgan County, AL"
27,334,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,426.4 ,"Morgan County, AL"
28,87,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,547.7 ,"Pike County, AL"
29,70,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,370.2 ,"Pike County, AL"
30,127,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,547.6 ,"Dallas County, AL"
31,117,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,426.3 ,"Dallas County, AL"
32,51,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,544.3 ,"Choctaw County, AL"
33,38,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,372.2 ,"Choctaw County, AL"
34,358,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,542.5 ,"Calhoun County, AL"
35,329,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,423.9 ,"Calhoun County, AL"
36,155,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,541.1 ,"Tallapoosa County, AL"
37,128,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,440.0 ,"Tallapoosa County, AL"
38,65,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,539.3 ,"Henry County, AL"
39,50,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,390.1 ,"Henry County, AL"
40,113,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,538.6 ,"Lawrence County, AL"
41,100,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,439.8 ,"Lawrence County, AL"
42,32,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,532.6 ,"Bullock County, AL"
43,29,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,475.1 ,"Bullock County, AL"
44,65,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,530.7 ,"Marengo County, AL"
45,54,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,392.1 ,"Marengo County, AL"
46,593,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,528.6 ,"Montgomery County, AL"
47,558,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,397.2 ,"Montgomery County, AL"
48,1815,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,527.5 ,"Jefferson County, AL"
49,1705,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,398.5 ,"Jefferson County, AL"
50,254,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,527.2 ,"Talladega County, AL"
51,217,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,402.8 ,"Talladega County, AL"
52,268,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,526.6 ,"St. Clair County, AL"
53,243,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,438.2 ,"St. Clair County, AL"
54,93,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,524.1 ,"Geneva County, AL"
55,78,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,403.2 ,"Geneva County, AL"
56,326,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,523.3 ,"Etowah County, AL"
57,307,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,426.0 ,"Etowah County, AL"
58,273,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,522.7 ,"Limestone County, AL"
59,233,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,415.3 ,"Limestone County, AL"
60,119,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,521.5 ,"Escambia County, AL"
61,96,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,385.7 ,"Escambia County, AL"
62,47,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,520.8 ,"Clay County, AL"
63,43,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,458.3 ,"Clay County, AL"
