County,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate†cases per 100,000(95% Confidence Interval)",CI*Rank&fork;(95% Confidence Interval),Average Annual Count,Recent Trend,Recent 5-Year Trend‡ in Incidence Rates(95% Confidence Interval),State,Cancer,Race/Ethnicity,Sex,Age,Area,Parish
Alabama  6,***,"108.6 (106.9, 110.3)",,3160,rising,"0.6 (0.3, 0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
US (SEER+NPCR)  1,***,"106.1 (105.9, 106.3)",,209535,stable,"-0.5 (-1.2, 0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Lowndes County  6,***,"167.8 (122.4, 223.9)","1 (1, 58)",9,stable,"2.3 (-0.8, 5.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Conecuh County  6,***,"145.2 (106.5, 193.1)","2 (1, 65)",9,stable,"2.0 (-2.2, 6.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Greene County  6,***,"144.7 (96.6, 207.3)","4 (1, 67)",6,stable,"2.9 (-0.5, 6.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Pickens County  6,***,"142.9 (113.5, 177.6)","3 (1, 57)",17,stable,"2.9 (-0.6, 6.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Perry County  6,***,"141.5 (97.4, 197.8)","5 (1, 66)",7,stable,"3.4 (-1.6, 8.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Crenshaw County  6,***,"138.5 (103.9, 180.7)","6 (1, 64)",11,rising,"3.3 (0.5, 6.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Lamar County  6,***,"131.4 (97.7, 173.0)","8 (1, 66)",10,stable,"1.2 (-1.0, 3.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Fayette County  6,***,"130.7 (100.1, 167.8)","9 (1, 65)",12,stable,"3.7 (0.0, 7.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
