County,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate†deaths per 100,000(95% Confidence Interval)",CI*Rank&fork;(95% Confidence Interval),Average Annual Count,Recent Trend,Recent 5-Year Trend‡ in Death Rates(95% Confidence Interval),State,Cancer,Race/Ethnicity,Sex,Age,Borough Or Census Area,Parish
Alabama,***,"18.4 (17.7, 19.1)",,543,falling,"-1.6 (-1.8, -1.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
United States,***,"15.1 (15.1, 15.2)",,30333,falling,"-1.9 (-2.0, -1.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Marengo County,***,"38.8 (24.2, 58.8)","1 (1, 30)",4,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Jackson County,***,"30.2 (22.0, 40.3)","2 (1, 28)",9,stable,"0.3 (-1.2, 1.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Randolph County,***,"27.6 (16.0, 44.2)","3 (1, 41)",3,stable,"-0.7 (-2.9, 1.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Dallas County,***,"26.0 (17.1, 37.6)","4 (1, 40)",5,stable,"-0.1 (-1.9, 1.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Tallapoosa County,***,"25.7 (17.0, 37.3)","5 (1, 40)",6,stable,"0.2 (-1.4, 1.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Bibb County,***,"25.7 (15.4, 40.3)","6 (1, 41)",4,falling,"-2.3 (-4.1, -0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Franklin County,***,"25.6 (16.5, 37.8)","7 (1, 40)",5,stable,"-1.2 (-2.9, 0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Pike County,***,"24.9 (15.1, 38.2)","8 (1, 41)",4,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Chambers County,***,"23.1 (14.6, 34.8)","9 (1, 41)",5,stable,"-1.1 (-2.7, 0.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Walker County,***,"22.4 (16.2, 30.2)","10 (2, 40)",9,stable,"-1.2 (-2.5, 0.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Covington County,***,"22.3 (14.1, 33.5)","11 (1, 42)",5,stable,"-0.2 (-1.8, 1.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Cherokee County,***,"21.9 (12.7, 35.5)","12 (1, 42)",3,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Colbert County,***,"21.5 (15.0, 30.0)","13 (2, 41)",7,stable,"-1.0 (-2.5, 0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Lawrence County,***,"20.6 (12.6, 31.6)","14 (1, 42)",4,stable,"-0.6 (-2.5, 1.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Cullman County,***,"20.4 (15.1, 26.9)","15 (3, 40)",10,stable,"-1.1 (-2.6, 0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Marshall County,***,"20.4 (15.5, 26.3)","16 (3, 40)",12,falling,"-1.4 (-2.2, -0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Mobile County,***,"20.4 (17.9, 23.1)","17 (7, 32)",49,falling,"-1.7 (-2.2, -1.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Elmore County,***,"20.3 (15.3, 26.5)","18 (3, 40)",11,falling,"-2.5 (-3.8, -1.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Houston County,***,"20.1 (15.4, 25.6)","19 (4, 40)",13,stable,"-0.9 (-1.9, 0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Morgan County,***,"19.7 (15.4, 24.8)","20 (5, 39)",14,stable,"-0.7 (-1.9, 0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Etowah County,***,"19.7 (15.1, 25.2)","21 (4, 40)",13,falling,"-1.2 (-2.1, -0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Marion County,***,"19.5 (11.3, 31.3)","22 (1, 42)",3,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Montgomery County,***,"18.8 (15.7, 22.4)","23 (8, 39)",26,falling,"-1.6 (-2.4, -0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Calhoun County,***,"18.8 (14.5, 24.0)","24 (6, 40)",13,stable,"-1.0 (-2.1, 0.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Talladega County,***,"18.8 (13.7, 25.1)","25 (5, 41)",9,falling,"-1.4 (-2.7, -0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
St. Clair County,***,"18.7 (14.0, 24.4)","26 (5, 41)",11,falling,"-1.9 (-3.2, -0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Chilton County,***,"18.6 (12.0, 27.4)","27 (3, 42)",5,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Autauga County,***,"18.4 (12.6, 25.8)","28 (4, 42)",7,falling,"-2.0 (-3.8, -0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Escambia County,***,"18.3 (11.3, 27.9)","29 (3, 42)",4,stable,"-0.4 (-2.2, 1.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Russell County,***,"17.6 (11.9, 24.9)","30 (5, 42)",6,falling,"-1.9 (-3.2, -0.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Blount County,***,"17.4 (11.9, 24.7)","31 (5, 42)",6,stable,"-1.0 (-2.6, 0.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Lauderdale County,***,"17.3 (12.7, 23.1)","32 (7, 42)",9,falling,"-1.4 (-2.7, -0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
