County,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate†deaths per 100,000(95% Confidence Interval)",CI*Rank&fork;(95% Confidence Interval),Average Annual Count,Recent Trend,Recent 5-Year Trend‡ in Death Rates(95% Confidence Interval),State,Cancer,Race/Ethnicity,Sex,Age,Borough Or Census Area,Parish
Alabama,***,"167.6 (165.9, 169.2)",,7950,falling,"-1.6 (-1.9, -1.3)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
United States,***,"153.4 (153.2, 153.6)",,505697,falling,"-2.0 (-2.2, -1.7)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Walker County,***,"213.2 (199.1, 228.0)","1 (1, 14)",181,stable,"-0.3 (-0.6, 0.0)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Crenshaw County,***,"211.2 (178.6, 248.8)","2 (1, 51)",32,stable,"0.0 (-0.7, 0.7)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Russell County,***,"201.7 (181.8, 223.4)","3 (1, 34)",78,falling,"-0.6 (-1.1, -0.2)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Escambia County,***,"199.5 (178.8, 222.3)","4 (1, 41)",71,falling,"-0.5 (-0.9, -0.1)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Jackson County,***,"199.4 (184.3, 215.4)","5 (1, 30)",139,falling,"-0.5 (-0.9, -0.2)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Chambers County,***,"198.6 (176.4, 223.2)","6 (1, 46)",63,stable,"-0.5 (-1.0, 0.0)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Macon County,***,"198.1 (144.9, 268.0)","7 (1, 67)",10,stable,"-0.4 (-1.6, 0.9)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Dallas County,***,"197.9 (170.1, 230.1)","8 (1, 55)",41,stable,"-0.3 (-0.8, 0.3)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Lawrence County,***,"194.0 (174.2, 215.6)","9 (1, 47)",74,stable,"-0.5 (-1.1, 0.1)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Barbour County,***,"189.7 (163.6, 219.5)","10 (1, 60)",40,stable,"-0.8 (-1.7, 0.0)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Marengo County,***,"189.2 (157.4, 226.4)","11 (1, 63)",28,stable,"-0.8 (-1.5, 0.0)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Geneva County,***,"188.3 (168.3, 210.3)","12 (1, 53)",67,stable,"-0.4 (-1.0, 0.3)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Henry County,***,"187.8 (160.9, 218.6)","13 (1, 61)",38,stable,"-0.3 (-1.0, 0.5)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Fayette County,***,"186.9 (161.4, 215.8)","14 (1, 60)",40,stable,"-0.3 (-1.0, 0.4)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Talladega County,***,"186.1 (172.6, 200.5)","15 (3, 45)",148,falling,"-0.6 (-0.9, -0.3)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Bibb County,***,"184.9 (160.3, 212.4)","16 (1, 60)",42,falling,"-0.8 (-1.5, -0.1)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Lamar County,***,"184.6 (157.7, 215.5)","17 (1, 62)",36,stable,"-0.5 (-1.1, 0.2)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Clay County,***,"184.3 (156.4, 216.5)","18 (1, 62)",33,stable,"-0.5 (-1.6, 0.5)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Blount County,***,"182.7 (169.1, 197.1)","19 (5, 48)",139,falling,"-0.9 (-1.3, -0.5)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
