County,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate†cases per 100,000(95% Confidence Interval)",CI*Rank&fork;(95% Confidence Interval),Average Annual Count,Recent Trend,Recent 5-Year Trend‡ in Incidence Rates(95% Confidence Interval),State,Cancer,Race/Ethnicity,Sex,Age,Area,Parish
Alabama  6,***,"515.2 (511.3, 519.1)",,14158,stable,"-0.2 (-1.3, 0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
US (SEER+NPCR)  1,***,"487.4 (486.9, 487.8)",,859984,falling,"-1.1 (-1.7, -0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Lowndes County  6,***,"730.1 (635.8, 835.5)","1 (1, 7)",47,stable,"1.9 (-0.6, 4.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Chambers County  6,***,"607.4 (559.4, 658.6)","2 (1, 25)",129,stable,"0.0 (-1.0, 1.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Elmore County  6,***,"591.1 (557.8, 625.9)","3 (2, 20)",256,stable,"0.3 (-0.6, 1.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Sumter County  6,***,"590.8 (508.9, 682.8)","4 (1, 59)",41,stable,"-0.8 (-2.7, 1.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Crenshaw County  6,***,"582.9 (510.4, 663.4)","5 (1, 56)",51,stable,"1.5 (-0.2, 3.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Macon County  6,***,"581.0 (517.5, 651.0)","6 (1, 54)",68,stable,"1.0 (-0.3, 2.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Autauga County  6,***,"575.8 (536.9, 616.9)","7 (2, 38)",170,stable,"0.2 (-0.9, 1.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Walker County  6,***,"575.8 (542.1, 611.2)","8 (2, 31)",235,stable,"-0.3 (-0.9, 0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Lamar County  6,***,"573.2 (504.4, 649.5)","9 (1, 59)",55,stable,"0.4 (-0.9, 1.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Wilcox County  6,***,"567.9 (485.6, 661.1)","10 (1, 64)",38,stable,"-0.5 (-2.6, 1.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Perry County  6,***,"567.9 (476.8, 671.9)","11 (1, 65)",30,stable,"0.4 (-2.1, 3.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Bibb County  6,***,"552.5 (495.7, 614.2)","12 (2, 58)",74,stable,"-0.2 (-1.3, 1.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Clarke County  6,***,"551.8 (498.9, 609.2)","13 (2, 58)",85,stable,"-0.6 (-1.5, 0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Morgan County  6,***,"550.6 (525.6, 576.5)","14 (5, 38)",382,falling,"-1.1 (-1.8, -0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Pike County  6,***,"547.7 (495.9, 603.6)","15 (2, 57)",87,stable,"0.2 (-0.8, 1.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Dallas County  6,***,"547.6 (504.0, 594.2)","16 (2, 52)",127,stable,"0.0 (-1.5, 1.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Choctaw County  6,***,"544.3 (476.9, 619.7)","17 (2, 63)",51,stable,"-2.1 (-9.4, 5.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Calhoun County  6,***,"542.5 (516.7, 569.4)","18 (6, 42)",358,stable,"-0.5 (-1.3, 0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Tallapoosa County  6,***,"541.1 (502.1, 582.7)","19 (3, 52)",155,stable,"0.0 (-0.7, 0.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Henry County  6,***,"539.3 (479.6, 605.1)","20 (2, 63)",65,falling,"-1.7 (-3.0, -0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Lawrence County  6,***,"538.6 (493.6, 586.8)","21 (3, 56)",113,stable,"-0.9 (-2.7, 1.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Bullock County  6,***,"532.6 (449.6, 626.7)","22 (2, 66)",32,stable,"1.4 (-0.4, 3.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
