,County,Average Annual Count,Recent Trend,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000",Recent 5-Year Trend in Incidence Rates
2,Lowndes County  6,9,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,167.8 ,2.3 
3,Conecuh County  6,9,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,145.2 ,2.0 
4,Greene County  6,6,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,144.7 ,2.9 
5,Pickens County  6,17,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,142.9 ,2.9 
6,Perry County  6,7,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,141.5 ,3.4 
7,Crenshaw County  6,11,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,138.5 ,3.3 
8,Lamar County  6,10,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,131.4 ,1.2 
9,Fayette County  6,12,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,130.7 ,3.7 
10,Tallapoosa County  6,29,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,130.4 ,1.9 
11,Clay County  6,10,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,130.4 ,0.5 
12,Sumter County  6,8,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,130.2 ,3.0 
13,Marengo County  6,14,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,126.5 ,2.3 
14,Covington County  6,26,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,126.4 ,3.4 
15,Elmore County  6,65,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,125.2 ,1.3 
16,Walker County  6,47,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,124.6 ,1.5 
17,Chambers County  6,24,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,123.7 ,1.5 
18,Jackson County  6,38,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,123.1 ,1.2 
19,Clarke County  6,17,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,122.7 ,0.8 
20,Wilcox County  6,7,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,121.6 ,-2.1 
21,St. Clair County  6,67,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,121.2 ,1.8 
22,Autauga County  6,43,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,121.0 ,0.0 
23,Talladega County  6,59,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,121.0 ,1.4 
24,Cullman County  6,58,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,120.5 ,2.0 
25,Lawrence County  6,24,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,119.6 ,0.4 
26,Dallas County  6,26,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,119.6 ,2.3 
27,Limestone County  6,73,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,119.0 ,1.0 
28,Marshall County  6,67,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,118.5 ,0.8 
29,Bullock County  6,7,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,118.4 ,1.9 
30,Monroe County  6,14,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,118.4 ,1.5 
31,Butler County  6,13,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,117.9 ,0.5 
32,Dale County  6,34,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,117.4 ,1.8 
33,Lauderdale County  6,62,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,117.3 ,1.9 
34,Bibb County  6,17,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,114.9 ,1.9 
35,Winston County  6,15,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,114.5 ,1.3 
36,Morgan County  6,82,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,114.3 ,1.2 
37,Choctaw County  6,8,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,114.0 ,1.4 
38,Coosa County  6,7,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,112.4 ,2.7 
39,Madison County  6,242,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,111.6 ,1.4 
40,Marion County  6,20,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,111.2 ,-14.8 
41,Colbert County  6,35,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,111.1 ,2.0 
42,Calhoun County  6,75,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,110.9 ,0.6 
43,Etowah County  6,68,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,108.9 ,0.5 
44,Henry County  6,11,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,108.4 ,-0.3 
45,Randolph County  6,14,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,107.3 ,0.6 
46,Franklin County  6,20,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,105.4 ,1.7 
47,Baldwin County  6,127,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,104.9 ,0.9 
48,Macon County  6,9,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,104.3 ,1.4 
49,Jefferson County  6,416,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,104.1 ,-0.2 
50,Mobile County  6,252,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,103.9 ,-0.2 
51,Montgomery County  6,140,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,103.8 ,0.4 
52,Houston County  6,65,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,103.7 ,-0.5 
53,Coffee County  6,33,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,101.8 ,2.0 
54,Geneva County  6,15,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,100.6 ,-0.8 
55,Washington County  6,10,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,100.5 ,1.5 
56,Pike County  6,17,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,100.1 ,0.4 
57,Shelby County  6,139,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,100.0 ,0.2 
58,Chilton County  6,26,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,99.1 ,-1.1 
59,Tuscaloosa County  6,118,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,98.5 ,-0.2 
60,Russell County  6,35,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,98.3 ,-0.4 
61,DeKalb County  6,42,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,98.1 ,1.0 
62,Cleburne County  6,9,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,97.8 ,1.0 
63,Blount County  6,34,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,97.3 ,0.3 
64,Cherokee County  6,14,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,95.1 ,0.2 
65,Lee County  6,83,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,85.8 ,0.2 
66,Escambia County  6,19,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,83.9 ,-1.7 
67,Hale County  6,6,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,83.5 ,-1.0 
68,Barbour County  6,11,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,71.5 ,-2.0 
2,Lowndes County  6,72,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,738.4 ",2.0 
3,Crenshaw County  6,88,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,572.8 ",2.6 
4,Walker County  6,399,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,535.6 ",0.4 
5,Chambers County  6,212,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,511.1 ",0.4 
6,Elmore County  6,410,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,505.7 ",0.4 
7,Macon County  6,114,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,489.8 ",1.3 
8,Lamar County  6,91,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,477.3 ",1.1 
9,Autauga County  6,273,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,475.7 ",0.6 
10,Bullock County  6,54,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,464.6 ",-0.5 
11,Lawrence County  6,189,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,436.2 ",-0.3 
12,Morgan County  6,634,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,434.3 ",-0.7 
13,Dallas County  6,218,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,430.5 ",0.1 
