County,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000"
Marengo County,4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,38.8 
Jackson County,9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,30.2 
Randolph County,3,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,27.6 
Dallas County,5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,26.0 
Tallapoosa County,6,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,25.7 
Bibb County,4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,25.7 
Franklin County,5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,25.6 
Pike County,4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,24.9 
Chambers County,5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,23.1 
Walker County,9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,22.4 
Covington County,5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,22.3 
Cherokee County,3,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,21.9 
Colbert County,7,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,21.5 
Lawrence County,4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.6 
Cullman County,10,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.4 
Marshall County,12,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.4 
Mobile County,49,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.4 
Elmore County,11,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.3 
Houston County,13,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.1 
Morgan County,14,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,19.7 
Etowah County,13,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,19.7 
Marion County,3,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,19.5 
Montgomery County,26,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.8 
Calhoun County,13,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.8 
Talladega County,9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.8 
St. Clair County,11,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.7 
Chilton County,5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.6 
Autauga County,7,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.4 
Escambia County,4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.3 
Russell County,6,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.6 
Blount County,6,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.4 
Lauderdale County,9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.3 
Coffee County,6,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.2 
DeKalb County,7,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.2 
Lee County,16,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.1 
Jefferson County,68,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,16.9 
Madison County,38,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,16.8 
Baldwin County,20,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,15.4 
Tuscaloosa County,18,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,15.3 
Limestone County,9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,13.7 
Dale County,4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,11.3 
Shelby County,15,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,10.6 
Walker County,183,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,719.4 
Bullock County,25,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,699.1 
Wilcox County,30,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,688.1 
Russell County,123,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,685.3 
Macon County,51,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,664.9 
Crenshaw County,37,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,664.1 
Escambia County,91,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,651.1 
Dallas County,96,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,645.7 
Fayette County,45,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,641.0 
Lowndes County,26,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,634.1 
Covington County,103,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,628.2 
Lamar County,39,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,628.1 
Barbour County,62,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,628.0 
Jackson County,134,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,626.1 
Geneva County,70,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,625.8 
Chambers County,85,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,620.1 
