Death Rate Report for United States by County

"All Cancer Sites, 2015-2019"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

State, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate([rate note]) - deaths per 100,000","Lower CI (Rate)","Upper CI (Rate)","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"United States",00000,***,152.4 ,152.3, 152.6,N/A , N/A , N/A,598381,falling,-2.1 ,-2.3, -1.8
"Union County, Florida",12125,***,441.1 ,397.4, 488.4,N/A , 1 , 1,80,stable,0.0 ,-0.9, 0.8
"Galax City, Virginia",51640,***,384.3 ,328.1, 448.2,N/A , 1 , 3,36,stable,-6.6 ,-30.7, 25.9
"Kingman County, Kansas",20095,***,315.8 ,267.5, 371.2,N/A , 1 , 4,35,rising,20.7 ,2.2, 42.4
"Covington City, Virginia",51580,***,293.1 ,241.5, 353.9,N/A , 1 , 19,24,stable,-11.5 ,-36.9, 24.3
"Martinsville City, Virginia",51690,***,291.4 ,257.1, 329.6,N/A , 1 , 8,54,rising,4.0 ,1.1, 7.0
"Buffalo County, South Dakota",46017,***,283 ,164.1, 448.8,N/A , 1 , 61,4,*,*,*,*
"Hanson County, South Dakota",46061,***,281.8 ,198.2, 387.4,N/A , 1 , 32,9,rising,1.9 ,0.2, 3.6
"Perry County, Kentucky",21193,***,273.3 ,248.3, 300.3,N/A , 1 , 19,93,stable,0.1 ,-0.5, 0.7
"Wolfe County, Kentucky",21237,***,272.5 ,226.9, 325.3,N/A , 1 , 69,27,stable,-0.4 ,-1.6, 0.8
"East Carroll Parish, Louisiana",22035,***,271.3 ,222.1, 328.4,N/A , 1 , 20,22,stable,0.1 ,-0.8, 1.0
"Camas County, Idaho",16025,***,267.5 ,148.1, 449.5,N/A , 1 , 42,4,*,*,*,*
"Loup County, Nebraska",31115,***,267.3 ,148.5, 481.7,N/A , 1 , 80,3,*,*,*,*
"Petersburg City, Virginia",51730,***,266.3 ,243.2, 291,N/A , 2 , 9,106,falling,-0.8 ,-1.3, -0.3
"Clay County, Kentucky",21051,***,264.2 ,234.9, 296.2,N/A , 1 , 35,63,stable,0.7 ,0.0, 1.3
"Pulaski County, Illinois",17153,***,262.6 ,214.1, 320.2,N/A , 1 , 29,22,stable,-0.1 ,-1.3, 1.0
"Sunflower County, Mississippi",28133,***,262 ,235.1, 291.2,N/A , 1 , 11,72,stable,0.1 ,-0.3, 0.5
"Whitley County, Kentucky",21235,***,261 ,239.5, 284,N/A , 1 , 24,113,stable,-0.1 ,-0.8, 0.5
"Lane County, Kansas",20101,***,261 ,181.2, 373.1,N/A , 1 , 97,7,stable,0.9 ,-0.7, 2.5
"Franklin City, Virginia",51620,***,253.6 ,211.6, 302,N/A , 2 , 47,28,falling,-0.8 ,-1.6, -0.1
"Greensville County, Virginia",51081,***,251 ,212.9, 294.3,N/A , 2 , 32,32,stable,-0.1 ,-1.2, 0.9
"Monroe County, Arkansas",05095,***,249.5 ,208.1, 298,N/A , 1 , 35,28,stable,-0.3 ,-1.1, 0.5
"Okfuskee County, Oklahoma",40107,***,245.5 ,211.8, 283.5,N/A , 1 , 31,39,stable,0.4 ,-0.3, 1.0
"Prairie County, Montana",30079,***,244.7 ,153.4, 387.1,N/A , 1 , 46,5,*,*,*,*
"Polk County, Texas",48373,***,243.8 ,225.4, 263.2,N/A , 1 , 14,149,stable,-0.2 ,-0.8, 0.4
"Leslie County, Kentucky",21131,***,243.6 ,207.4, 284.9,N/A , 1 , 83,34,stable,0.2 ,-0.5, 1.0
"Logan County, West Virginia",54045,***,243.3 ,223.2, 265,N/A , 1 , 8,116,falling,-0.9 ,-1.4, -0.3
"Yukon-Koyukuk Census Area, Alaska",02290,***,243.2 ,187.1, 311,N/A , 1 , 9,14,stable,0.5 ,-1.1, 2.0
"Harlan County, Kentucky",21095,***,243.1 ,220.1, 268,N/A , 1 , 52,87,stable,0.3 ,-0.3, 0.9
"Owsley County, Kentucky",21189,***,243.1 ,190.5, 307.2,N/A , 1 , 117,16,stable,0.0 ,-1.0, 1.0
"Overton County, Tennessee",47133,***,241.7 ,217.6, 268,N/A , 1 , 26,78,stable,-0.1 ,-0.7, 0.5
"Hart County, Kentucky",21099,***,241.3 ,213.5, 272,N/A , 1 , 65,57,stable,0.2 ,-0.5, 0.8
"Madison County, Mississippi",28089,***,240.7 ,227.1, 254.9,N/A , 1 , 13,251,falling,-2.6 ,-4.3, -0.8
"Johnson County, Kentucky",21115,***,240.1 ,215.2, 267.1,N/A , 1 , 62,72,stable,-0.2 ,-0.8, 0.4
"Nicholas County, Kentucky",21181,***,239.9 ,197.1, 290.1,N/A , 1 , 102,23,stable,-0.2 ,-0.9, 0.6
"Carroll County, Kentucky",21041,***,239.4 ,202.7, 281.2,N/A , 1 , 92,31,stable,-0.5 ,-1.2, 0.2
"Lawrence County, Kentucky",21127,***,239.3 ,209.2, 272.8,N/A , 1 , 77,48,stable,0.0 ,-0.4, 0.4
"Hopewell City, Virginia",51670,***,238.6 ,213.1, 266.6,N/A , 2 , 29,65,stable,-0.2 ,-0.6, 0.3
"Breathitt County, Kentucky",21025,***,238.3 ,205.3, 275.5,N/A , 1 , 89,40,stable,-0.3 ,-1.1, 0.5
"Powell County, Kentucky",21197,***,238.3 ,203.1, 278,N/A , 1 , 91,35,stable,-0.5 ,-1.2, 0.3
"Todd County, South Dakota",46121,***,237.8 ,183.4, 301.9,N/A , 1 , 34,14,stable,-0.6 ,-1.8, 0.6
"Perry County, Tennessee",47135,***,237.3 ,198.6, 282.3,N/A , 1 , 62,28,stable,0.0 ,-1.1, 1.1
"Anderson County, Texas",48001,***,237.2 ,220.8, 254.5,N/A , 1 , 14,159,stable,-0.2 ,-1.4, 1.0
"North Slope Borough, Alaska",02185,***,237 ,175.9, 310.1,N/A , 1 , 12,13,stable,-0.9 ,-2.6, 0.9
"Adams County, Ohio",39001,***,235.9 ,213.8, 259.9,N/A , 1 , 8,87,stable,-0.4 ,-1.0, 0.2
"Quitman County, Georgia",13239,***,235.7 ,170.6, 324.3,N/A , 1 , 152,10,stable,0.0 ,-1.7, 1.8
"Scott County, Tennessee",47151,***,235.6 ,210.5, 263.2,N/A , 1 , 34,66,stable,-0.4 ,-0.9, 0.0
"Monroe County, Kentucky",21171,***,235.5 ,201, 274.7,N/A , 1 , 87,35,stable,0.0 ,-0.8, 0.9
"Delta County, Texas",48119,***,235.1 ,187.2, 292.9,N/A , 1 , 151,18,stable,0.0 ,-1.3, 1.2
"Floyd County, Kentucky",21071,***,234.9 ,215.4, 255.9,N/A , 2 , 53,114,falling,-0.6 ,-1.0, -0.1
"Baylor County, Texas",48023,***,234.7 ,182.2, 300.8,N/A , 1 , 174,15,stable,-0.6 ,-1.8, 0.6
"Knox County, Kentucky",21121,***,234.3 ,213.4, 256.9,N/A , 2 , 65,95,stable,0.0 ,-0.5, 0.5
"Bolivar County, Mississippi",28011,***,234 ,211.8, 258,N/A , 1 , 29,87,stable,-0.4 ,-0.9, 0.1
"Holmes County, Mississippi",28051,***,233 ,203.9, 265.3,N/A , 1 , 42,48,stable,-0.2 ,-0.9, 0.5
"Sharkey County, Mississippi",28125,***,232.8 ,178, 300.2,N/A , 1 , 77,14,falling,-1.6 ,-2.7, -0.6
"Lewis County, Kentucky",21135,***,232.7 ,201.9, 267.3,N/A , 1 , 89,43,stable,0.0 ,-0.7, 0.7
"Martin County, Kentucky",21159,***,232.1 ,197, 272,N/A , 1 , 101,33,stable,-0.5 ,-1.4, 0.4
