Incidence Rate Report for United States by County

"All Cancer Sites (All Stages^), 2014-2018"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

State, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,***,448.6 ,448.3, 448.9,N/A , N/A , N/A,1703249,falling,-0.9 ,-1.1, -0.7
"Union County, Florida(6)",12125,***,1136.4 ,1066.6, 1209.9,N/A , 1 , 1,214,stable,0.0 ,-1.0, 1.1
"Richmond County, Virginia(6)",51159,***,784.2 ,714.8, 859.3,N/A , 1 , 3,99,rising,35.6 ,20.0, 53.2
"Lexington City, Virginia(6)",51678,***,727.5 ,633.8, 832.3,N/A , 1 , 9,52,rising,28.1 ,6.9, 53.5
"Palo Alto County, Iowa(7)",19147,***,661.3 ,594.5, 733.9,N/A , 1 , 7,83,stable,0.8 ,0.0, 1.5
"Powell County, Kentucky(7)",21197,***,631.5 ,572.8, 694.7,N/A , 1 , 49,91,stable,0.7 ,-0.6, 2.0
"Woodruff County, Arkansas(6)",05147,***,627.8 ,554.3, 709.2,N/A , 1 , 21,61,rising,2.0 ,0.7, 3.4
"Floyd County, Kentucky(7)",21071,***,622.7 ,590.1, 656.8,N/A , 1 , 19,295,stable,0.1 ,-0.4, 0.6
"Galax City, Virginia(6)",51640,***,620.6 ,547.5, 701.3,N/A , 2 , 26,56,rising,20.5 ,0.2, 44.9
"Waynesboro City, Virginia(6)",51820,***,616 ,574.9, 659.5,N/A , 2 , 13,175,rising,12.4 ,3.2, 22.5
"Kingsbury County, South Dakota(6)",46077,***,613.8 ,532.4, 705.4,N/A , 1 , 25,47,stable,1.3 ,-0.8, 3.4
"Franklin City, Virginia(6)",51620,***,613.2 ,545.5, 687.5,N/A , 2 , 25,66,stable,1.6 ,-0.3, 3.5
"Taylor County, Kentucky(7)",21217,***,610.9 ,571.5, 652.4,N/A , 1 , 37,194,rising,1.2 ,0.5, 2.0
"Lawrence County, Kentucky(7)",21127,***,603.7 ,554.9, 655.8,N/A , 1 , 60,122,rising,1.0 ,0.3, 1.7
"Pickens County, Georgia(7)",13227,***,603.4 ,569.8, 638.6,N/A , 1 , 7,273,rising,1.3 ,0.5, 2.0
"Lowndes County, Alabama(6)",01085,***,601.8 ,542.3, 666.4,N/A , 1 , 5,82,rising,8.8 ,3.1, 14.8
"Sherman County, Nebraska(6)",31163,***,601.2 ,491.7, 729.6,N/A , 1 , 65,28,stable,0.3 ,-2.8, 3.6
"Polk County, Texas(6)",48373,***,601 ,573.1, 630.1,N/A , 1 , 4,394,rising,1.8 ,0.5, 3.2
"Bracken County, Kentucky(7)",21023,***,600.5 ,534.5, 672.9,N/A , 1 , 99,64,stable,0.9 ,-0.9, 2.7
"Blaine County, Nebraska(6)",31009,***,600.2 ,349.5, 978.8,N/A , 1 , 89,4,stable,2.7 ,-1.3, 6.8
"Prairie County, Montana(6)",30079,***,598.5 ,440, 806.9,N/A , 1 , 51,12,stable,0.2 ,-2.6, 3.0
"Treasure County, Montana(6)",30103,***,597.1 ,369.6, 923.3,N/A , 1 , 56,7,stable,-1.1 ,-5.2, 3.1
"Perry County, Kentucky(7)",21193,***,596.3 ,558.8, 635.7,N/A , 1 , 48,202,stable,0.5 ,-0.4, 1.3
"Monroe County, Kentucky(7)",21171,***,592.7 ,535.5, 654.9,N/A , 1 , 88,85,rising,2.1 ,0.9, 3.2
"Robertson County, Kentucky(7)",21201,***,589.7 ,466.1, 738.8,N/A , 1 , 120,18,stable,1.4 ,-1.3, 4.1
"Nicholas County, Kentucky(7)",21181,***,586.9 ,516.9, 664.3,N/A , 1 , 112,54,stable,1.2 ,-0.4, 2.8
"Petersburg City, Virginia(6)",51730,***,584.8 ,550.1, 621.2,N/A , 3 , 17,231,stable,1.1 ,0.0, 2.1
"Logan County, Nebraska(6)",31113,***,583.3 ,376.3, 867.7,N/A , 1 , 89,6,*,*,*,*
"Mingo County, West Virginia(6)",54059,***,582.9 ,544.5, 623.5,N/A , 1 , 9,188,stable,0.3 ,-0.8, 1.4
"Carter County, Montana(6)",30011,***,582.1 ,430.7, 779.9,N/A , 1 , 53,12,rising,25.8 ,5.7, 49.6
"Lee County, Georgia(7)",13177,***,582.1 ,542.3, 624.1,N/A , 1 , 26,174,rising,1.3 ,0.4, 2.3
"Staunton City, Virginia(6)",51790,***,580.9 ,544.2, 619.6,N/A , 3 , 19,203,rising,10.5 ,2.7, 18.8
"Breathitt County, Kentucky(7)",21025,***,578.5 ,526.4, 634.6,N/A , 1 , 93,98,rising,1.4 ,0.2, 2.7
"Covington City, Virginia(6)",51580,***,577.9 ,502.1, 662.9,N/A , 2 , 55,45,rising,4.7 ,3.3, 6.2
"Lawrence County, Arkansas(6)",05075,***,575.6 ,529.7, 624.6,N/A , 1 , 22,128,rising,5.4 ,1.5, 9.5
"Carter County, Kentucky(7)",21043,***,575 ,539, 612.9,N/A , 1 , 71,203,stable,0.2 ,-0.5, 0.8
"Knox County, Kentucky(7)",21121,***,572.9 ,539.2, 608.4,N/A , 2 , 68,225,stable,0.3 ,-0.4, 1.0
"Lewis County, Kentucky(7)",21135,***,572.4 ,522.4, 626.2,N/A , 1 , 98,103,rising,1.1 ,0.2, 1.9
"East Carroll Parish, Louisiana(7)",22035,***,572 ,499.6, 652.1,N/A , 1 , 54,47,stable,0.9 ,-0.2, 2.1
"Cerro Gordo County, Iowa(7)",19033,***,571.6 ,543.9, 600.5,N/A , 1 , 19,358,rising,0.6 ,0.3, 0.9
"Renville County, North Dakota(6)",38075,***,570.9 ,458, 705.4,N/A , 1 , 38,20,stable,1.9 ,-0.8, 4.6
"Cape May County, New Jersey(7)",34009,***,570.5 ,552.4, 589,N/A , 1 , 2,899,stable,-0.1 ,-0.5, 0.3
"Fleming County, Kentucky(7)",21069,***,570.4 ,521.7, 622.7,N/A , 1 , 89,108,stable,0.4 ,-0.7, 1.4
