County,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000"
Lowndes County  6,30,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,681.2 
Crenshaw County  6,80,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,558.3 
Greene County  6,15,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,542.5 
Chambers County  6,158,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,519.5 
Walker County  6,418,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,509.3 
Lawrence County  6,186,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,506.0 
Dallas County  6,95,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,505.4 
Lamar County  6,91,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,502.8 
Elmore County  6,392,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,499.3 
Macon County  6,26,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,494.0 
Sumter County  6,23,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,489.0 
Autauga County  6,255,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,485.3 
Calhoun County  6,566,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,475.6 
Clay County  6,77,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,475.1 
Barbour County  6,98,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,473.9 
Wilcox County  6,25,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,472.0 
Morgan County  6,631,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,471.3 
St. Clair County  6,464,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,469.5 
Talladega County  6,348,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,469.0 
Etowah County  6,548,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,464.6 
Dale County  6,225,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,464.5 
Bibb County  6,105,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,462.0 
Geneva County  6,156,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,458.0 
Pike County  6,109,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,457.3 
Tallapoosa County  6,209,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,456.7 
Marion County  6,192,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,454.9 
