County,Average Annual Count,Recent Trend,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000",Recent 5-Year Trend in Death Rates
Walker County,181,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,213.2 ,213.2 
Crenshaw County,32,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,211.2 ,211.2 
Russell County,78,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,201.7 ,201.7 
Escambia County,71,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,199.5 ,199.5 
Jackson County,139,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,199.4 ,199.4 
Chambers County,63,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,198.6 ,198.6 
Macon County,10,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,198.1 ,198.1 
Dallas County,41,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,197.9 ,197.9 
Lawrence County,74,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,194.0 ,194.0 
Barbour County,40,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,189.7 ,189.7 
Marengo County,28,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,189.2 ,189.2 
Geneva County,67,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,188.3 ,188.3 
Henry County,38,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,187.8 ,187.8 
Fayette County,40,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,186.9 ,186.9 
Talladega County,148,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,186.1 ,186.1 
Bibb County,42,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,184.9 ,184.9 
Lamar County,36,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,184.6 ,184.6 
Clay County,33,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,184.3 ,184.3 
Blount County,139,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,182.7 ,182.7 
Etowah County,226,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,182.2 ,182.2 
Marion County,81,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,182.0 ,182.0 
Covington County,93,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,181.7 ,181.7 
Calhoun County,224,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,181.4 ,181.4 
Colbert County,121,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,181.1 ,181.1 
St. Clair County,180,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,179.9 ,179.9 
Conecuh County,22,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,178.2 ,178.2 
Lowndes County,9,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,177.1 ,177.1 
Franklin County,65,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,176.2 ,176.2 
Pike County,43,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,175.8 ,175.8 
Mobile County,592,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,173.7 ,173.7 
Perry County,9,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,172.9 ,172.9 
Tallapoosa County,82,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,172.7 ,172.7 
Randolph County,48,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,172.6 ,172.6 
