County,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000"
Wilcox County,18,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,296.3 
Macon County,32,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,290.7 
Lowndes County,17,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,283.8 
Walker County,111,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,281.1 
Dallas County,60,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,271.3 
Escambia County,59,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,265.3 
Chambers County,52,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,262.9 
Sumter County,16,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,259.1 
Perry County,13,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,254.8 
Bullock County,13,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,252.4 
Russell County,68,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,251.4 
Pike County,39,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,247.4 
Jackson County,82,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,245.1 
Lamar County,22,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,239.2 
Bibb County,30,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,239.0 
Barbour County,37,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,238.3 
Lawrence County,50,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,236.8 
Tallapoosa County,65,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,236.0 
Covington County,58,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,235.0 
Talladega County,112,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,234.6 
Crenshaw County,21,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,233.9 
Henry County,27,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,233.4 
Clay County,21,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,232.9 
Washington County,25,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,232.1 
Etowah County,143,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,230.3 
Marengo County,27,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,229.6 
St. Clair County,110,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,227.4 
Winston County,38,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,226.6 
Geneva County,41,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,226.2 
Calhoun County,143,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,225.9 
Clarke County,34,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,225.4 
Fayette County,24,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,223.3 
Mobile County,489,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,222.3 
Monroe County,29,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,217.9 
Cullman County,109,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,217.9 
Marion County,45,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,216.8 
Lee County,137,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,216.1 
Marshall County,117,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,216.0 
Elmore County,88,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,215.8 
Jefferson County,705,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,213.5 
Colbert County,75,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,212.4 
Blount County,76,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,211.7 
Franklin County,36,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,210.9 
Houston County,123,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,210.8 
Morgan County,142,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,210.3 
Chilton County,53,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,209.1 
Butler County,25,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,208.2 
Randolph County,32,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,208.1 
Montgomery County,223,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,207.2 
Dale County,57,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,204.7 
Hale County,18,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,203.7 
Lauderdale County,116,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,203.5 
DeKalb County,82,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,198.4 
Cherokee County,38,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,197.5 
Choctaw County,19,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,196.8 
Tuscaloosa County,175,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,194.0 
Conecuh County,18,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,193.3 
Coffee County,55,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,193.0 
